year,season,date,watershed,block,plot,sppnum,taxa,cover,flowernum,notes
2023,late,8/2/2023,N1A,B,1,003,Schizachyrium scoparium,6,,
2023,late,8/2/2023,N1A,B,1,004,Bouteloua curtipendula,0,,
2023,late,8/2/2023,N1A,B,1,018,Sorghastrum nutans,15,,
2023,late,8/2/2023,N1A,B,1,021,Sporobolus compositus (asper),1,,
2023,late,8/2/2023,N1A,B,1,052,Artemesia ludoviciana,1,,
2023,late,8/2/2023,N1A,B,1,058,Symphyotrichym (Aster) ericoides,23,,
2023,late,8/2/2023,N1A,B,1,069,Callirhoe involucrate,1,,
2023,late,8/2/2023,N1A,B,1,090,Lespedeza capitata,1,,
2023,late,8/2/2023,N1A,B,1,111,Physalis pumila,1,,"cover data marked ""For sure"""
2023,late,8/2/2023,N1A,B,1,120,Ruellia humilis,2,,
2023,late,8/2/2023,N1A,B,1,140,Vernonia baldwinii,4,,
2023,late,8/2/2023,N1A,B,1,143,Lespedeza violacea,94,,
2023,late,8/2/2023,N1A,B,1,234,Rhus glabra,7,,
2023,early,5/27/2023,N1A,B,2,033,Carex inops (heliophila),1,,
2023,early,5/27/2023,N1A,B,2,034,Carex meadii,1,,
2023,early,5/27/2023,N1A,B,2,040,Amorpha canescens,2,,
2023,early,5/27/2023,N1A,B,2,055,Asclepias verticillata,1,,
2023,early,5/27/2023,N1A,B,2,103,Oxalis violacea,1,,
2023,early,5/27/2023,N1A,B,2,111,Physalis pumila,1,,
2023,early,5/27/2023,N1A,B,2,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,B,2,122,Mimosa (Schrankii) quadrivalvis,2,,
2023,early,5/27/2023,N1A,B,2,143,Lespedeza violacea,15,,
2023,early,5/27/2023,N1A,B,2,234,Rhus glabra,10,,
2023,early,5/27/2023,N1A,B,2,300,Euphorbia nutans,1,,
2023,late,8/2/2023,N1A,B,2,002,Andropogon gerardii,95,,
2023,late,8/2/2023,N1A,B,2,003,Schizachyrium scoparium,2,,
2023,late,8/2/2023,N1A,B,2,004,Bouteloua curtipendula,2,,
2023,late,8/2/2023,N1A,B,2,014,Dichanthelium oligosanthes,3,,
2023,late,8/2/2023,N1A,B,2,018,Sorghastrum nutans,30,,
2023,late,8/2/2023,N1A,B,2,021,Sporobolus compositus (asper),0,,cover data marked as 0
2023,late,8/2/2023,N1A,B,2,040,Amorpha canescens,3,,
2023,late,8/2/2023,N1A,B,2,046,Ambrosia psilostachya,1,,
2023,late,8/2/2023,N1A,B,2,058,Symphyotrichym (Aster) ericoides,7,,
2023,late,8/2/2023,N1A,B,2,086,Brickelia (Kuhnia) eupatoroides,2,,
2023,late,8/2/2023,N1A,B,2,090,Lespedeza capitata,1,,
2023,late,8/2/2023,N1A,B,2,120,Ruellia humilis,1,,
2023,late,8/2/2023,N1A,B,2,122,Mimosa (Schrankii) quadrivalvis,6,,
2023,late,8/2/2023,N1A,B,2,127,Solidago altissima,2,,
2023,late,8/2/2023,N1A,B,2,140,Vernonia baldwinii,5,,
2023,late,8/2/2023,N1A,B,2,143,Lespedeza violacea,28,,
2023,late,8/2/2023,N1A,B,2,234,Rhus glabra,12,,
2023,early,5/27/2023,N1A,B,3,033,Carex inops (heliophila),1,,
2023,early,5/27/2023,N1A,B,3,034,Carex meadii,2,,
2023,early,5/27/2023,N1A,B,3,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,B,3,126,Solanum carolinense,1,,
2023,early,5/27/2023,N1A,B,3,143,Lespedeza violacea,37,,
2023,early,5/27/2023,N1A,B,3,165,Cyperus sp.,1,,
2023,early,5/27/2023,N1A,B,3,234,Rhus glabra,12,,
2023,early,5/27/2023,N1A,B,3,253,Mirabilus linearis,1,,
2023,early,5/27/2023,N1A,B,3,523,Euphorbia maculata,1,,
2023,late,8/2/2023,N1A,B,3,002,Andropogon gerardii,80,,
2023,late,8/2/2023,N1A,B,3,003,Schizachyrium scoparium,6,,
2023,late,8/2/2023,N1A,B,3,004,Bouteloua curtipendula,0,,cover data marked as 0
2023,late,8/2/2023,N1A,B,3,014,Dichanthelium oligosanthes,3,,
2023,late,8/2/2023,N1A,B,3,018,Sorghastrum nutans,30,,
2023,late,8/2/2023,N1A,B,3,021,Sporobolus compositus (asper),0,,cover data marked as 0
2023,late,8/2/2023,N1A,B,3,046,Ambrosia psilostachya,6,,
2023,late,8/2/2023,N1A,B,3,090,Lespedeza capitata,2,,
2023,late,8/2/2023,N1A,B,3,106,Dalea candida,3,,
2023,late,8/2/2023,N1A,B,3,120,Ruellia humilis,1,,
2023,late,8/2/2023,N1A,B,3,127,Solidago altissima,3,,
2023,late,8/2/2023,N1A,B,3,140,Vernonia baldwinii,8,,
2023,late,8/2/2023,N1A,B,3,143,Lespedeza violacea,60,,
2023,late,8/2/2023,N1A,B,3,218,Tridens flavus,2,,
2023,late,8/2/2023,N1A,B,3,234,Rhus glabra,16,,
2023,late,8/2/2023,N1A,B,3,253,Mirabilus linearis,2,,
2023,late,8/2/2023,N1A,B,3,300,Euphorbia nutans,2,,
2023,early,5/27/2023,N1A,B,4,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,B,4,033,Carex inops (heliophila),1,,
2023,early,5/27/2023,N1A,B,4,034,Carex meadii,4,,
2023,early,5/27/2023,N1A,B,4,103,Oxalis violacea,5,,
2023,early,5/27/2023,N1A,B,4,112,Physalis virginiana,1,,
2023,early,5/27/2023,N1A,B,4,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,B,4,143,Lespedeza violacea,4,,
2023,early,5/27/2023,N1A,B,4,165,Cyperus sp.,1,,
2023,early,5/27/2023,N1A,B,4,234,Rhus glabra,1,,
2023,late,8/2/2023,N1A,B,4,002,Andropogon gerardii,55,,
2023,late,8/2/2023,N1A,B,4,003,Schizachyrium scoparium,30,,
2023,late,8/2/2023,N1A,B,4,004,Bouteloua curtipendula,4,,
2023,late,8/2/2023,N1A,B,4,014,Dichanthelium oligosanthes,1,,
2023,late,8/2/2023,N1A,B,4,018,Sorghastrum nutans,17,,
2023,late,8/2/2023,N1A,B,4,021,Sporobolus compositus (asper),0,,
2023,late,8/2/2023,N1A,B,4,058,Symphyotrichym (Aster) ericoides,14,,
2023,late,8/2/2023,N1A,B,4,086,Brickelia (Kuhnia) eupatoroides,10,,
2023,late,8/2/2023,N1A,B,4,090,Lespedeza capitata,12,,
2023,late,8/2/2023,N1A,B,4,111,Physalis pumila,1,,"cover data marked ""For sure"""
2023,late,8/2/2023,N1A,B,4,127,Solidago altissima,1,,Solidago altissima (canadensis)
2023,late,8/2/2023,N1A,B,4,140,Vernonia baldwinii,2,,
2023,late,8/2/2023,N1A,B,4,143,Lespedeza violacea,9,,
2023,early,5/27/2023,N1A,B,5,011,Eragrostis spectabilis,1,,
2023,early,5/27/2023,N1A,B,5,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,B,5,031,Carex brevior,1,,no flower
2023,early,5/27/2023,N1A,B,5,033,Carex inops (heliophila),1,,
2023,early,5/27/2023,N1A,B,5,034,Carex meadii,4,,
2023,early,5/27/2023,N1A,B,5,143,Lespedeza violacea,55,,
2023,late,8/2/2023,N1A,B,5,002,Andropogon gerardii,50,,
2023,late,8/2/2023,N1A,B,5,003,Schizachyrium scoparium,6,,
2023,late,8/2/2023,N1A,B,5,004,Bouteloua curtipendula,4,,
2023,late,8/2/2023,N1A,B,5,014,Dichanthelium oligosanthes,3,,
2023,late,8/2/2023,N1A,B,5,018,Sorghastrum nutans,45,,
2023,late,8/2/2023,N1A,B,5,021,Sporobolus compositus (asper),2,,
2023,late,8/2/2023,N1A,B,5,046,Ambrosia psilostachya,1,,
2023,late,8/2/2023,N1A,B,5,058,Symphyotrichym (Aster) ericoides,28,,
2023,late,8/2/2023,N1A,B,5,090,Lespedeza capitata,4,,
2023,late,8/2/2023,N1A,B,5,127,Solidago altissima,3,,
2023,late,8/2/2023,N1A,B,5,140,Vernonia baldwinii,7,,
2023,late,8/2/2023,N1A,B,5,143,Lespedeza violacea,85,,
2023,late,8/2/2023,N1A,B,5,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,B,6,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,B,6,034,Carex meadii,3,,
2023,early,5/27/2023,N1A,B,6,103,Oxalis violacea,1,,
2023,early,5/27/2023,N1A,B,6,111,Physalis pumila,2,,
2023,early,5/27/2023,N1A,B,6,143,Lespedeza violacea,20,,
2023,early,5/27/2023,N1A,B,6,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,B,6,523,Euphorbia maculata,1,,
2023,late,8/2/2023,N1A,B,6,002,Andropogon gerardii,45,,
2023,late,8/2/2023,N1A,B,6,004,Bouteloua curtipendula,1,,
2023,late,8/2/2023,N1A,B,6,014,Dichanthelium oligosanthes,2,,
2023,late,8/2/2023,N1A,B,6,018,Sorghastrum nutans,12,,
2023,late,8/2/2023,N1A,B,6,046,Ambrosia psilostachya,2,,
2023,late,8/2/2023,N1A,B,6,090,Lespedeza capitata,3,,
2023,late,8/2/2023,N1A,B,6,126,Solanum carolinense,1,,
2023,late,8/2/2023,N1A,B,6,127,Solidago altissima,5,,Solidago altissima (canadensis)
2023,late,8/2/2023,N1A,B,6,140,Vernonia baldwinii,12,,
2023,late,8/2/2023,N1A,B,6,143,Lespedeza violacea,60,,
2023,late,8/2/2023,N1A,B,6,218,Tridens flavus,2,,
2023,late,8/2/2023,N1A,B,6,234,Rhus glabra,4,,
2023,late,8/2/2023,N1A,B,6,300,Euphorbia nutans,1,,
2023,late,8/2/2023,N1A,B,6,519,Carex austrina,1,,
2023,early,5/27/2023,N1A,C,1,014,Dichanthelium oligosanthes,2,,
2023,early,5/27/2023,N1A,C,1,031,Carex brevior,2,,carex in flower
2023,early,5/27/2023,N1A,C,1,034,Carex meadii,30,,carex in flower
2023,early,5/27/2023,N1A,C,1,055,Asclepias verticillata,1,,
2023,early,5/27/2023,N1A,C,1,103,Oxalis violacea,11,,
2023,early,5/27/2023,N1A,C,1,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,C,1,143,Lespedeza violacea,30,,
2023,late,8/2/2023,N1A,C,1,002,Andropogon gerardii,85,,
2023,late,8/2/2023,N1A,C,1,003,Schizachyrium scoparium,11,,
2023,late,8/2/2023,N1A,C,1,004,Bouteloua curtipendula,3,,
2023,late,8/2/2023,N1A,C,1,018,Sorghastrum nutans,6,,
2023,late,8/2/2023,N1A,C,1,021,Sporobolus compositus (asper),4,,
2023,late,8/2/2023,N1A,C,1,046,Ambrosia psilostachya,1,,
2023,late,8/2/2023,N1A,C,1,055,Asclepias verticillata,1,,
2023,late,8/2/2023,N1A,C,1,058,Symphyotrichym (Aster) ericoides,4,,
2023,late,8/2/2023,N1A,C,1,086,Brickelia (Kuhnia) eupatoroides,1,,
2023,late,8/2/2023,N1A,C,1,120,Ruellia humilis,1,,
2023,late,8/2/2023,N1A,C,1,127,Solidago altissima,1,,
2023,late,8/2/2023,N1A,C,1,143,Lespedeza violacea,60,,
2023,early,5/27/2023,N1A,C,2,033,Carex inops (heliophila),1,,
2023,early,5/27/2023,N1A,C,2,034,Carex meadii,18,,
2023,early,5/27/2023,N1A,C,2,055,Asclepias verticillata,1,,
2023,early,5/27/2023,N1A,C,2,120,Ruellia humilis,2,,
2023,early,5/27/2023,N1A,C,2,125,Sisyrinchium campestre,1,,Sissy camp
2023,early,5/27/2023,N1A,C,2,126,Solanum carolinense,1,,
2023,early,5/27/2023,N1A,C,2,143,Lespedeza violacea,30,,
2023,early,5/27/2023,N1A,C,2,331,Oenothera villosa,1,,
2023,late,8/2/2023,N1A,C,2,002,Andropogon gerardii,70,,
2023,late,8/2/2023,N1A,C,2,003,Schizachyrium scoparium,18,,
2023,late,8/2/2023,N1A,C,2,004,Bouteloua curtipendula,0,,cover data marked 0
2023,late,8/2/2023,N1A,C,2,014,Dichanthelium oligosanthes,0,,cover data marked 0
2023,late,8/2/2023,N1A,C,2,018,Sorghastrum nutans,5,,
2023,late,8/2/2023,N1A,C,2,021,Sporobolus compositus (asper),1,,
2023,late,8/2/2023,N1A,C,2,046,Ambrosia psilostachya,1,,
2023,late,8/2/2023,N1A,C,2,058,Symphyotrichym (Aster) ericoides,5,,
2023,late,8/2/2023,N1A,C,2,086,Brickelia (Kuhnia) eupatoroides,1,,
2023,late,8/2/2023,N1A,C,2,090,Lespedeza capitata,4,,
2023,late,8/2/2023,N1A,C,2,127,Solidago altissima,1,,
2023,late,8/2/2023,N1A,C,2,143,Lespedeza violacea,55,,
2023,early,5/27/2023,N1A,C,3,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,C,3,034,Carex meadii,3,,
2023,early,5/27/2023,N1A,C,3,040,Amorpha canescens,7,,
2023,early,5/27/2023,N1A,C,3,103,Oxalis violacea,3,,
2023,early,5/27/2023,N1A,C,3,111,Physalis pumila,3,,
2023,early,5/27/2023,N1A,C,3,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,C,3,143,Lespedeza violacea,20,,
2023,early,5/27/2023,N1A,C,3,185,Calystegia macounii,2,,
2023,early,5/27/2023,N1A,C,3,190,Setaria,2,,SK pic 10:53am
2023,early,5/27/2023,N1A,C,3,206,Viola nephrophylla,1,,
2023,early,5/27/2023,N1A,C,3,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,C,3,519,Carex austrina,1,,
2023,late,8/2/2023,N1A,C,3,002,Andropogon gerardii,15,,
2023,late,8/2/2023,N1A,C,3,003,Schizachyrium scoparium,10,,
2023,late,8/2/2023,N1A,C,3,004,Bouteloua curtipendula,4,,
2023,late,8/2/2023,N1A,C,3,014,Dichanthelium oligosanthes,1,,
2023,late,8/2/2023,N1A,C,3,018,Sorghastrum nutans,25,,
2023,late,8/2/2023,N1A,C,3,040,Amorpha canescens,10,,
2023,late,8/2/2023,N1A,C,3,043,Symphyotrichym (Aster) orbiculatus,,,"marked with a check, no cover data; SG notes to check species number 043= Symphoricarpos orbiculatus"
2023,late,8/2/2023,N1A,C,3,046,Ambrosia psilostachya,3,,
2023,late,8/2/2023,N1A,C,3,052,Artemesia ludoviciana,4,,
2023,late,8/2/2023,N1A,C,3,127,Solidago altissima,1,,
2023,late,8/2/2023,N1A,C,3,140,Vernonia baldwinii,8,,
2023,late,8/2/2023,N1A,C,3,143,Lespedeza violacea,70,,
2023,late,8/2/2023,N1A,C,3,234,Rhus glabra,2,,
2023,late,8/2/2023,N1A,C,3,300,Euphorbia nutans,3,,
2023,late,8/2/2023,N1A,C,3,190,Setaria pumila,2,,
2023,early,5/27/2023,N1A,C,4,014,Dichanthelium oligosanthes,2,,
2023,early,5/27/2023,N1A,C,4,034,Carex meadii,9,,
2023,early,5/27/2023,N1A,C,4,120,Ruellia humilis,3,,
2023,early,5/27/2023,N1A,C,4,125,Sisyrinchium campestre,2,,Sissy camp
2023,early,5/27/2023,N1A,C,4,143,Lespedeza violacea,25,,
2023,late,8/2/2023,N1A,C,4,002,Andropogon gerardii,65,,
2023,late,8/2/2023,N1A,C,4,003,Schizachyrium scoparium,12,,
2023,late,8/2/2023,N1A,C,4,004,Bouteloua curtipendula,3,,
2023,late,8/2/2023,N1A,C,4,018,Sorghastrum nutans,18,,
2023,late,8/2/2023,N1A,C,4,021,Sporobolus compositus (asper),2,,
2023,late,8/2/2023,N1A,C,4,046,Ambrosia psilostachya,2,,
2023,late,8/2/2023,N1A,C,4,058,Symphyotrichym (Aster) ericoides,7,,
2023,late,8/2/2023,N1A,C,4,086,Brickelia (Kuhnia) eupatoroides,4,,
2023,late,8/2/2023,N1A,C,4,120,Ruellia humilis,4,,
2023,late,8/2/2023,N1A,C,4,127,Solidago altissima,1,,
2023,late,8/2/2023,N1A,C,4,140,Vernonia baldwinii,6,,
2023,late,8/2/2023,N1A,C,4,143,Lespedeza violacea,45,,
2023,early,5/27/2023,N1A,C,5,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,C,5,034,Carex meadii,11,,carex in flower
2023,early,5/27/2023,N1A,C,5,122,Mimosa (Schrankii) quadrivalvis,4,,
2023,early,5/27/2023,N1A,C,5,143,Lespedeza violacea,55,,
2023,early,5/27/2023,N1A,C,5,300,Euphorbia nutans,1,,
2023,late,8/2/2023,N1A,C,5,002,Andropogon gerardii,95,,
2023,late,8/2/2023,N1A,C,5,002,Andropogon gerardii,20,,
2023,late,8/2/2023,N1A,C,5,003,Schizachyrium scoparium,6,,
2023,late,8/2/2023,N1A,C,5,004,Bouteloua curtipendula,1,,
2023,late,8/2/2023,N1A,C,5,014,Dichanthelium oligosanthes,2,,
2023,late,8/2/2023,N1A,C,5,018,Sorghastrum nutans,12,,
2023,late,8/2/2023,N1A,C,5,021,Sporobolus compositus (asper),0,,cover data marked 0
2023,late,8/2/2023,N1A,C,5,046,Ambrosia psilostachya,1,,
2023,late,8/2/2023,N1A,C,5,058,Symphyotrichym (Aster) ericoides,1,,
2023,late,8/2/2023,N1A,C,5,086,Brickelia (Kuhnia) eupatoroides,2,,
2023,late,8/2/2023,N1A,C,5,122,Mimosa (Schrankii) quadrivalvis,3,,
2023,late,8/2/2023,N1A,C,5,127,Solidago altissima,5,,
2023,late,8/2/2023,N1A,C,5,140,Vernonia baldwinii,5,,
2023,late,8/2/2023,N1A,C,5,143,Lespedeza violacea,80,,
2023,early,5/27/2023,N1A,C,6,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,C,6,031,Carex brevior,1,,
2023,early,5/27/2023,N1A,C,6,034,Carex meadii,3,,
2023,early,5/27/2023,N1A,C,6,055,Asclepias verticillata,1,,
2023,early,5/27/2023,N1A,C,6,103,Oxalis violacea,1,,
2023,early,5/27/2023,N1A,C,6,143,Lespedeza violacea,25,,
2023,early,5/27/2023,N1A,C,6,185,Calystegia macounii,2,,
2023,early,5/27/2023,N1A,C,6,194,Physalis heterophylla,1,,Physalis oily
2023,early,5/27/2023,N1A,C,6,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,C,6,519,Carex austrina,1,,
2023,late,8/2/2023,N1A,C,6,003,Schizachyrium scoparium,6,,
2023,late,8/2/2023,N1A,C,6,004,Bouteloua curtipendula,10,,
2023,late,8/2/2023,N1A,C,6,014,Dichanthelium oligosanthes,4,,
2023,late,8/2/2023,N1A,C,6,018,Sorghastrum nutans,17,,
2023,late,8/2/2023,N1A,C,6,046,Ambrosia psilostachya,2,,
