,year,season,date,watershed,block,plot,sppnum,taxa,cover,notes
72,2020,fall,8/31/2020,N1A,A,5,218,Tridens flavus,1,
73,2020,fall,8/31/2020,N1A,A,5,234,Rhus glabra,7,
74,2020,fall,8/31/2020,N1A,A,6,2,Andropogon gerardii,50,
75,2020,fall,8/31/2020,N1A,A,6,3,Schizachyrium scoparium,1,
76,2020,spring,6/15/2020,N1A,A,6,14,Dichanthelium oligosanthes,1,
77,2020,fall,8/31/2020,N1A,A,6,18,Sorghastrum nutans,4,
78,2020,fall,8/31/2020,N1A,A,6,21,Sporobolus compositus,2,
79,2020,spring,6/15/2020,N1A,A,6,34,Carex meadii,5,
80,2020,fall,8/31/2020,N1A,A,6,46,Ambrosia psilostachya,14,
81,2020,fall,8/31/2020,N1A,A,6,86,Brickellia eupatorioides,2,
82,2020,fall,8/31/2020,N1A,A,6,127,Solidago altissima,20,
83,2020,fall,8/31/2020,N1A,A,6,140,Vernonia baldwinii,10,
84,2020,spring,6/15/2020,N1A,A,6,143,Lespedeza violacea,29,
85,2020,fall,8/31/2020,N1A,A,6,156,Acalypha virginica,2,
86,2020,spring,6/15/2020,N1A,A,6,161,Asclepias syriaca,1,"very small. check id in summer, could be A. viridiflora"
87,2020,spring,6/15/2020,N1A,A,6,185,Calystegia macounii,3,
88,2020,fall,8/31/2020,N1A,A,6,193,Euphorbia dentata,1,
89,2020,fall,8/31/2020,N1A,A,6,300,Euphorbia nutans,2,
90,2020,fall,8/31/2020,N1A,B,1,2,Andropogon gerardii,80,
91,2020,fall,8/31/2020,N1A,B,1,3,Schizachyrium scoparium,3,
92,2020,spring,6/15/2020,N1A,B,1,14,Dichanthelium oligosanthes,1,
93,2020,fall,8/31/2020,N1A,B,1,18,Sorghastrum nutans,20,
94,2020,spring,6/15/2020,N1A,B,1,31,Carex brevior,1,
95,2020,spring,6/15/2020,N1A,B,1,32,Carex gravida,2,
96,2020,spring,6/15/2020,N1A,B,1,34,Carex meadii,2,
97,2020,fall,8/31/2020,N1A,B,1,46,Ambrosia psilostachya,2,
98,2020,fall,8/31/2020,N1A,B,1,58,Symphyotrichum ericoides,5,
99,2020,spring,6/15/2020,N1A,B,1,69,Callirhoe involucrata,17,
100,2020,spring,6/15/2020,N1A,B,1,111,Physalis pumila,1,
101,2020,spring,6/15/2020,N1A,B,1,120,Ruellia humilis,2,
102,2020,fall,8/31/2020,N1A,B,1,127,Solidago altissima,12,
103,2020,fall,8/31/2020,N1A,B,1,140,Vernonia baldwinii,1,
104,2020,spring,6/15/2020,N1A,B,1,143,Lespedeza violacea,95,
105,2020,fall,8/31/2020,N1A,B,2,2,Andropogon gerardii,85,
106,2020,fall,8/31/2020,N1A,B,2,18,Sorghastrum nutans,10,
107,2020,spring,6/15/2020,N1A,B,2,34,Carex meadii,1,
108,2020,fall,8/31/2020,N1A,B,2,40,Amorpha canescens,3,
109,2020,fall,8/31/2020,N1A,B,2,46,Ambrosia psilostachya,1,
110,2020,spring,6/15/2020,N1A,B,2,55,Asclepias verticillata,1,
111,2020,fall,8/31/2020,N1A,B,2,58,Symphyotrichum ericoides,3,
112,2020,fall,8/31/2020,N1A,B,2,86,Brickellia eupatorioides,2,
113,2020,fall,8/31/2020,N1A,B,2,90,Lespedeza capitata,1,
114,2020,spring,6/15/2020,N1A,B,2,120,Ruellia humilis,1,
115,2020,fall,8/31/2020,N1A,B,2,127,Solidago altissima,16,
116,2020,fall,8/31/2020,N1A,B,2,140,Vernonia baldwinii,7,
117,2020,spring,6/15/2020,N1A,B,2,143,Lespedeza violacea,19,
118,2020,fall,8/31/2020,N1A,B,2,234,Rhus glabra,15,
119,2020,fall,8/31/2020,N1A,B,2,300,Euphorbia nutans,1,
120,2020,fall,8/31/2020,N1A,B,3,2,Andropogon gerardii,50,
121,2020,fall,8/31/2020,N1A,B,3,3,Schizachyrium scoparium,1,
122,2020,spring,6/15/2020,N1A,B,3,14,Dichanthelium oligosanthes,3,
123,2020,fall,8/31/2020,N1A,B,3,18,Sorghastrum nutans,14,
124,2020,spring,6/15/2020,N1A,B,3,33,Carex inops,1,
125,2020,spring,6/15/2020,N1A,B,3,34,Carex meadii,1,
126,2020,spring,6/15/2020,N1A,B,3,36,Cyperus lupulinus,1,
127,2020,fall,8/31/2020,N1A,B,3,46,Ambrosia psilostachya,18,
128,2020,fall,8/31/2020,N1A,B,3,90,Lespedeza capitata,3,
129,2020,spring,6/15/2020,N1A,B,3,106,Dalea candida,1,
130,2020,spring,6/15/2020,N1A,B,3,120,Ruellia humilis,1,
131,2020,fall,8/31/2020,N1A,B,3,127,Solidago altissima,8,
132,2020,fall,8/31/2020,N1A,B,3,140,Vernonia baldwinii,4,
133,2020,spring,6/15/2020,N1A,B,3,143,Lespedeza violacea,28,
134,2020,fall,8/31/2020,N1A,B,3,228,Mirabilis albida,1,
135,2020,fall,8/31/2020,N1A,B,4,2,Andropogon gerardii,90,
136,2020,fall,8/31/2020,N1A,B,4,3,Schizachyrium scoparium,2,
137,2020,spring,6/15/2020,N1A,B,4,14,Dichanthelium oligosanthes,1,
138,2020,fall,8/31/2020,N1A,B,4,18,Sorghastrum nutans,8,
139,2020,spring,6/15/2020,N1A,B,4,32,Carex gravida,2,
140,2020,spring,6/15/2020,N1A,B,4,33,Carex inops,3,
141,2020,spring,6/15/2020,N1A,B,4,34,Carex meadii,2,
142,2020,fall,8/31/2020,N1A,B,4,46,Ambrosia psilostachya,2,
143,2020,fall,8/31/2020,N1A,B,4,58,Symphyotrichum ericoides,8,
144,2020,fall,8/31/2020,N1A,B,4,86,Brickellia eupatorioides,7,
145,2020,fall,8/31/2020,N1A,B,4,90,Lespedeza capitata,3,
146,2020,spring,6/15/2020,N1A,B,4,111,Physalis pumila,4,
147,2020,spring,6/15/2020,N1A,B,4,120,Ruellia humilis,1,
148,2020,fall,8/31/2020,N1A,B,4,127,Solidago altissima,38,
149,2020,fall,8/31/2020,N1A,B,4,139,Verbena stricta,1,
150,2020,fall,8/31/2020,N1A,B,4,140,Vernonia baldwinii,5,
151,2020,spring,6/15/2020,N1A,B,4,143,Lespedeza violacea,3,
152,2020,fall,8/31/2020,N1A,B,5,2,Andropogon gerardii,80,
153,2020,fall,8/31/2020,N1A,B,5,3,Schizachyrium scoparium,2,
154,2020,spring,6/15/2020,N1A,B,5,14,Dichanthelium oligosanthes,2,
155,2020,fall,8/31/2020,N1A,B,5,18,Sorghastrum nutans,12,
156,2020,fall,8/31/2020,N1A,B,5,21,Sporobolus compositus,2,
157,2020,spring,6/15/2020,N1A,B,5,31,Carex brevior,1,
158,2020,spring,6/15/2020,N1A,B,5,34,Carex meadii,3,
159,2020,fall,8/31/2020,N1A,B,5,46,Ambrosia psilostachya,15,
160,2020,fall,8/31/2020,N1A,B,5,58,Symphyotrichum ericoides,8,
161,2020,fall,8/31/2020,N1A,B,5,90,Lespedeza capitata,2,
162,2020,fall,8/31/2020,N1A,B,5,127,Solidago altissima,18,
163,2020,fall,8/31/2020,N1A,B,5,140,Vernonia baldwinii,6,
164,2020,spring,6/15/2020,N1A,B,5,143,Lespedeza violacea,55,
165,2020,fall,8/31/2020,N1A,B,6,2,Andropogon gerardii,55,
166,2020,spring,6/15/2020,N1A,B,6,14,Dichanthelium oligosanthes,1,
167,2020,fall,8/31/2020,N1A,B,6,18,Sorghastrum nutans,12,
168,2020,spring,6/15/2020,N1A,B,6,34,Carex meadii,2,
169,2020,fall,8/31/2020,N1A,B,6,46,Ambrosia psilostachya,15,
170,2020,fall,8/31/2020,N1A,B,6,86,Brickellia eupatorioides,1,
171,2020,fall,8/31/2020,N1A,B,6,90,Lespedeza capitata,1,
172,2020,spring,6/15/2020,N1A,B,6,103,Oxalis violacea,1,
173,2020,spring,6/15/2020,N1A,B,6,111,Physalis pumila,2,
174,2020,spring,6/15/2020,N1A,B,6,126,Solanum carolinense,1,
175,2020,fall,8/31/2020,N1A,B,6,126,Solanum carolinense,1,
176,2020,fall,8/31/2020,N1A,B,6,127,Solidago altissima,14,
177,2020,fall,8/31/2020,N1A,B,6,140,Vernonia baldwinii,5,
178,2020,spring,6/15/2020,N1A,B,6,143,Lespedeza violacea,20,
179,2020,fall,8/31/2020,N1A,B,6,300,Euphorbia nutans,1,
180,2020,spring,6/15/2020,N1A,B,6,546,Desmodium perplexum,1,chomped. check id in summer
181,2020,fall,8/31/2020,N1A,C,1,2,Andropogon gerardii,80,
182,2020,fall,8/31/2020,N1A,C,1,3,Schizachyrium scoparium,4,
183,2020,fall,8/31/2020,N1A,C,1,4,Bouteloua curtipendula,1,
184,2020,fall,8/31/2020,N1A,C,1,18,Sorghastrum nutans,10,
185,2020,fall,8/31/2020,N1A,C,1,21,Sporobolus compositus,2,
186,2020,spring,6/15/2020,N1A,C,1,34,Carex meadii,3,
187,2020,fall,8/31/2020,N1A,C,1,46,Ambrosia psilostachya,4,
188,2020,fall,8/31/2020,N1A,C,1,86,Brickellia eupatorioides,3,
189,2020,spring,6/15/2020,N1A,C,1,120,Ruellia humilis,2,
190,2020,fall,8/31/2020,N1A,C,1,127,Solidago altissima,20,
191,2020,spring,6/15/2020,N1A,C,1,143,Lespedeza violacea,19,
192,2020,fall,8/31/2020,N1A,C,2,2,Andropogon gerardii,90,
193,2020,fall,8/31/2020,N1A,C,2,3,Schizachyrium scoparium,6,
194,2020,fall,8/31/2020,N1A,C,2,18,Sorghastrum nutans,3,
195,2020,spring,6/15/2020,N1A,C,2,34,Carex meadii,3,
196,2020,fall,8/31/2020,N1A,C,2,46,Ambrosia psilostachya,19,
197,2020,spring,6/15/2020,N1A,C,2,55,Asclepias verticillata,1,
198,2020,fall,8/31/2020,N1A,C,2,58,Symphyotrichum ericoides,3,
199,2020,fall,8/31/2020,N1A,C,2,86,Brickellia eupatorioides,3,
200,2020,fall,8/31/2020,N1A,C,2,90,Lespedeza capitata,1,
201,2020,spring,6/15/2020,N1A,C,2,99,Oenothera speciosa,1,
202,2020,spring,6/15/2020,N1A,C,2,112,Physalis virginiana,1,
203,2020,spring,6/15/2020,N1A,C,2,120,Ruellia humilis,2,
204,2020,fall,8/31/2020,N1A,C,2,127,Solidago altissima,16,
205,2020,spring,6/15/2020,N1A,C,2,143,Lespedeza violacea,32,
206,2020,fall,8/31/2020,N1A,C,3,2,Andropogon gerardii,45,
207,2020,fall,8/31/2020,N1A,C,3,3,Schizachyrium scoparium,5,
208,2020,fall,8/31/2020,N1A,C,3,4,Bouteloua curtipendula,1,
209,2020,spring,6/15/2020,N1A,C,3,14,Dichanthelium oligosanthes,2,
210,2020,fall,8/31/2020,N1A,C,3,18,Sorghastrum nutans,6,
211,2020,fall,8/31/2020,N1A,C,3,21,Sporobolus compositus,1,
212,2020,spring,6/15/2020,N1A,C,3,33,Carex inops,1,
213,2020,spring,6/15/2020,N1A,C,3,34,Carex meadii,4,
214,2020,fall,8/31/2020,N1A,C,3,40,Amorpha canescens,11,
215,2020,fall,8/31/2020,N1A,C,3,46,Ambrosia psilostachya,9,
216,2020,fall,8/31/2020,N1A,C,3,86,Brickellia eupatorioides,2,
217,2020,spring,6/15/2020,N1A,C,3,103,Oxalis violacea,1,
218,2020,spring,6/15/2020,N1A,C,3,112,Physalis virginiana,3,
219,2020,spring,6/15/2020,N1A,C,3,115,Polygala verticillata,1,
220,2020,spring,6/15/2020,N1A,C,3,120,Ruellia humilis,1,
221,2020,fall,8/31/2020,N1A,C,3,127,Solidago altissima,16,
222,2020,fall,8/31/2020,N1A,C,3,140,Vernonia baldwinii,5,
223,2020,spring,6/15/2020,N1A,C,3,143,Lespedeza violacea,40,
224,2020,fall,8/31/2020,N1A,C,3,234,Rhus glabra,22,
225,2020,fall,8/31/2020,N1A,C,4,2,Andropogon gerardii,80,
226,2020,fall,8/31/2020,N1A,C,4,3,Schizachyrium scoparium,1,
227,2020,fall,8/31/2020,N1A,C,4,4,Bouteloua curtipendula,1,
228,2020,spring,6/15/2020,N1A,C,4,14,Dichanthelium oligosanthes,2,
229,2020,fall,8/31/2020,N1A,C,4,18,Sorghastrum nutans,25,
230,2020,spring,6/15/2020,N1A,C,4,34,Carex meadii,2,
231,2020,spring,6/15/2020,N1A,C,4,36,Cyperus lupulinus,1,
232,2020,fall,8/31/2020,N1A,C,4,46,Ambrosia psilostachya,5,
233,2020,fall,8/31/2020,N1A,C,4,86,Brickellia eupatorioides,15,
234,2020,spring,6/15/2020,N1A,C,4,120,Ruellia humilis,4,
235,2020,fall,8/31/2020,N1A,C,4,127,Solidago altissima,12,
236,2020,fall,8/31/2020,N1A,C,4,140,Vernonia baldwinii,4,
237,2020,spring,6/15/2020,N1A,C,4,143,Lespedeza violacea,18,
238,2020,fall,8/31/2020,N1A,C,5,2,Andropogon gerardii,90,
239,2020,fall,8/31/2020,N1A,C,5,18,Sorghastrum nutans,8,
240,2020,spring,6/15/2020,N1A,C,5,34,Carex meadii,2,
241,2020,fall,8/31/2020,N1A,C,5,46,Ambrosia psilostachya,1,
242,2020,spring,6/15/2020,N1A,C,5,56,Asclepias viridis,5,
243,2020,fall,8/31/2020,N1A,C,5,58,Symphyotrichum ericoides,1,
244,2020,spring,6/15/2020,N1A,C,5,122,Mimosa quadrivalvis,6,
245,2020,fall,8/31/2020,N1A,C,5,127,Solidago altissima,25,
246,2020,fall,8/31/2020,N1A,C,5,140,Vernonia baldwinii,5,
247,2020,spring,6/15/2020,N1A,C,5,143,Lespedeza violacea,70,
248,2020,fall,8/31/2020,N1A,C,6,2,Andropogon gerardii,50,
249,2020,fall,8/31/2020,N1A,C,6,3,Schizachyrium scoparium,6,
250,2020,fall,8/31/2020,N1A,C,6,4,Bouteloua curtipendula,3,
251,2020,spring,6/15/2020,N1A,C,6,14,Dichanthelium oligosanthes,1,
252,2020,fall,8/31/2020,N1A,C,6,18,Sorghastrum nutans,2,
253,2020,spring,6/15/2020,N1A,C,6,34,Carex meadii,1,
254,2020,fall,8/31/2020,N1A,C,6,46,Ambrosia psilostachya,14,
255,2020,spring,6/15/2020,N1A,C,6,55,Asclepias verticillata,1,
256,2020,spring,6/15/2020,N1A,C,6,56,Asclepias viridis,3,
257,2020,fall,8/31/2020,N1A,C,6,58,Symphyotrichum ericoides,1,
258,2020,fall,8/31/2020,N1A,C,6,90,Lespedeza capitata,1,
259,2020,spring,6/15/2020,N1A,C,6,120,Ruellia humilis,2,
260,2020,fall,8/31/2020,N1A,C,6,127,Solidago altissima,18,
261,2020,fall,8/31/2020,N1A,C,6,140,Vernonia baldwinii,10,
262,2020,spring,6/15/2020,N1A,C,6,143,Lespedeza violacea,50,
263,2020,fall,8/31/2020,N1A,C,6,156,Acalypha virginica,2,
264,2020,spring,6/15/2020,N1A,C,6,185,Calystegia macounii,5,
265,2020,fall,8/31/2020,N1A,C,6,211,Ambrosia artemisiifolia,1,
266,2020,fall,8/31/2020,N1A,C,6,234,Rhus glabra,1,
267,2020,fall,8/31/2020,N1A,C,6,300,Euphorbia nutans,1,
268,2020,spring,6/15/2020,N1A,C,6,538,Physalis longifolia,1,
269,2020,fall,8/31/2020,N1A,D,1,2,Andropogon gerardii,75,
270,2020,fall,8/31/2020,N1A,D,1,3,Schizachyrium scoparium,3,
271,2020,fall,8/31/2020,N1A,D,1,4,Bouteloua curtipendula,2,
272,2020,fall,8/31/2020,N1A,D,1,15,Panicum virgatum,4,
273,2020,fall,8/31/2020,N1A,D,1,18,Sorghastrum nutans,12,
274,2020,fall,8/31/2020,N1A,D,1,21,Sporobolus compositus,1,
275,2020,spring,6/15/2020,N1A,D,1,33,Carex inops,1,
276,2020,spring,6/15/2020,N1A,D,1,34,Carex meadii,1,
277,2020,fall,8/31/2020,N1A,D,1,46,Ambrosia psilostachya,15,
278,2020,fall,8/31/2020,N1A,D,1,52,Artemisia ludoviciana,3,
279,2020,fall,8/31/2020,N1A,D,1,58,Symphyotrichum ericoides,2,
280,2020,fall,8/31/2020,N1A,D,1,90,Lespedeza capitata,2,
281,2020,spring,6/15/2020,N1A,D,1,107,Dalea multiflora,8,
282,2020,fall,8/31/2020,N1A,D,1,140,Vernonia baldwinii,4,
283,2020,spring,6/15/2020,N1A,D,1,143,Lespedeza violacea,7,
284,2020,fall,8/31/2020,N1A,D,1,223,Stenaria nigricans,1,
285,2020,fall,8/31/2020,N1A,D,1,234,Rhus glabra,9,
286,2020,fall,8/31/2020,N1A,D,2,2,Andropogon gerardii,90,
287,2020,fall,8/31/2020,N1A,D,2,3,Schizachyrium scoparium,3,
288,2020,fall,8/31/2020,N1A,D,2,4,Bouteloua curtipendula,1,
289,2020,spring,6/15/2020,N1A,D,2,14,Dichanthelium oligosanthes,1,
290,2020,fall,8/31/2020,N1A,D,2,18,Sorghastrum nutans,7,
291,2020,spring,6/15/2020,N1A,D,2,33,Carex inops,1,
292,2020,spring,6/15/2020,N1A,D,2,34,Carex meadii,2,
293,2020,fall,8/31/2020,N1A,D,2,46,Ambrosia psilostachya,2,
294,2020,fall,8/31/2020,N1A,D,2,52,Artemisia ludoviciana,6,
295,2020,fall,8/31/2020,N1A,D,2,58,Symphyotrichum ericoides,5,
296,2020,fall,8/31/2020,N1A,D,2,86,Brickellia eupatorioides,2,
297,2020,fall,8/31/2020,N1A,D,2,90,Lespedeza capitata,1,
298,2020,spring,6/15/2020,N1A,D,2,118,Ratibida columnifera,2,
299,2020,spring,6/15/2020,N1A,D,2,120,Ruellia humilis,1,
300,2020,fall,8/31/2020,N1A,D,2,127,Solidago altissima,2,
301,2020,fall,8/31/2020,N1A,D,2,140,Vernonia baldwinii,8,
302,2020,spring,6/15/2020,N1A,D,2,143,Lespedeza violacea,85,
303,2020,fall,8/31/2020,N1A,D,2,211,Ambrosia artemisiifolia,3,
304,2020,spring,6/15/2020,N1A,D,2,409,Erigeron philadelphicus,2,
305,2020,spring,6/15/2020,N1A,D,2,547,Viola missouriensis,1,
306,2020,fall,8/31/2020,N1A,D,3,2,Andropogon gerardii,15,
307,2020,fall,8/31/2020,N1A,D,3,3,Schizachyrium scoparium,25,
308,2020,fall,8/31/2020,N1A,D,3,4,Bouteloua curtipendula,3,
309,2020,spring,6/15/2020,N1A,D,3,14,Dichanthelium oligosanthes,1,
310,2020,fall,8/31/2020,N1A,D,3,18,Sorghastrum nutans,5,
311,2020,spring,6/15/2020,N1A,D,3,32,Carex gravida,1,
312,2020,spring,6/15/2020,N1A,D,3,34,Carex meadii,2,
313,2020,fall,8/31/2020,N1A,D,3,46,Ambrosia psilostachya,20,
314,2020,spring,6/15/2020,N1A,D,3,56,Asclepias viridis,12,
315,2020,fall,8/31/2020,N1A,D,3,58,Symphyotrichum ericoides,1,
316,2020,fall,8/31/2020,N1A,D,3,86,Brickellia eupatorioides,1,
317,2020,fall,8/31/2020,N1A,D,3,90,Lespedeza capitata,2,
318,2020,spring,6/15/2020,N1A,D,3,120,Ruellia humilis,2,
319,2020,fall,8/31/2020,N1A,D,3,127,Solidago altissima,10,
320,2020,fall,8/31/2020,N1A,D,3,139,Verbena stricta,2,
321,2020,fall,8/31/2020,N1A,D,3,140,Vernonia baldwinii,1,
322,2020,spring,6/15/2020,N1A,D,3,143,Lespedeza violacea,30,
323,2020,fall,8/31/2020,N1A,D,3,209,Setaria viridis,1,
324,2020,fall,8/31/2020,N1A,D,3,234,Rhus glabra,2,
325,2020,fall,8/31/2020,N1A,D,3,300,Euphorbia nutans,3,
326,2020,fall,8/31/2020,N1A,D,4,2,Andropogon gerardii,65,
327,2020,spring,6/15/2020,N1A,D,4,14,Dichanthelium oligosanthes,2,
328,2020,fall,8/31/2020,N1A,D,4,15,Panicum virgatum,5,
329,2020,fall,8/31/2020,N1A,D,4,18,Sorghastrum nutans,13,
330,2020,fall,8/31/2020,N1A,D,4,21,Sporobolus compositus,1,
331,2020,spring,6/15/2020,N1A,D,4,32,Carex gravida,1,
332,2020,spring,6/15/2020,N1A,D,4,33,Carex inops,1,
333,2020,spring,6/15/2020,N1A,D,4,34,Carex meadii,1,
334,2020,fall,8/31/2020,N1A,D,4,46,Ambrosia psilostachya,2,
335,2020,fall,8/31/2020,N1A,D,4,58,Symphyotrichum ericoides,2,
336,2020,fall,8/31/2020,N1A,D,4,86,Brickellia eupatorioides,1,
337,2020,spring,6/15/2020,N1A,D,4,106,Dalea candida,2,
338,2020,fall,8/31/2020,N1A,D,4,127,Solidago altissima,5,
339,2020,fall,8/31/2020,N1A,D,4,140,Vernonia baldwinii,9,
340,2020,spring,6/15/2020,N1A,D,4,143,Lespedeza violacea,6,
341,2020,fall,8/31/2020,N1A,D,4,193,Euphorbia dentata,1,
342,2020,spring,6/15/2020,N1A,D,4,194,Physalis heterophylla,5,
343,2020,fall,8/31/2020,N1A,D,4,231,Toxicodendron radicans,4,
344,2020,fall,8/31/2020,N1A,D,4,234,Rhus glabra,12,
345,2020,fall,8/31/2020,N1A,D,4,300,Euphorbia nutans,1,
346,2020,fall,8/31/2020,N1A,D,5,2,Andropogon gerardii,70,
347,2020,fall,8/31/2020,N1A,D,5,3,Schizachyrium scoparium,5,
348,2020,fall,8/31/2020,N1A,D,5,4,Bouteloua curtipendula,2,
349,2020,spring,6/15/2020,N1A,D,5,14,Dichanthelium oligosanthes,2,
350,2020,fall,8/31/2020,N1A,D,5,18,Sorghastrum nutans,18,
351,2020,spring,6/15/2020,N1A,D,5,31,Carex brevior,1,
352,2020,spring,6/15/2020,N1A,D,5,33,Carex inops,1,
353,2020,spring,6/15/2020,N1A,D,5,34,Carex meadii,1,
354,2020,fall,8/31/2020,N1A,D,5,46,Ambrosia psilostachya,4,
355,2020,fall,8/31/2020,N1A,D,5,52,Artemisia ludoviciana,1,
356,2020,fall,8/31/2020,N1A,D,5,58,Symphyotrichum ericoides,6,
357,2020,spring,6/15/2020,N1A,D,5,69,Callirhoe involucrata,5,
358,2020,fall,8/31/2020,N1A,D,5,86,Brickellia eupatorioides,1,
359,2020,fall,8/31/2020,N1A,D,5,90,Lespedeza capitata,3,
360,2020,fall,8/31/2020,N1A,D,5,127,Solidago altissima,25,
361,2020,fall,8/31/2020,N1A,D,5,140,Vernonia baldwinii,5,
362,2020,spring,6/15/2020,N1A,D,5,143,Lespedeza violacea,3,
363,2020,fall,8/31/2020,N1A,D,6,2,Andropogon gerardii,35,
364,2020,fall,8/31/2020,N1A,D,6,3,Schizachyrium scoparium,8,
