"sppnum","genus_species","lifeform","watershed","freq","avg_cover"
42,"rosa_arkansana","w","N4B",2,1.75
43,"symphoricarpos_orbiculatus","w","N1A",4,5.375
43,"symphoricarpos_orbiculatus","w","N4B",11,9.86363636363636
44,"achillea_millefolium","f","N1A",3,2.16666666666667
44,"achillea_millefolium","f","N4B",3,1.33333333333333
46,"ambrosia_psilostachya","f","N1A",51,4.23529411764706
46,"ambrosia_psilostachya","f","N4B",41,1.30487804878049
47,"androsace_occidentalis","f","N1A",3,1
48,"anemone_caroliniana","f","N1A",1,1
49,"antennaria_neglecta","f","N1A",1,1
50,"apocynum_cannabinum","f","N1A",2,1
50,"apocynum_cannabinum","f","N4B",11,7.22727272727273
52,"artemisia_ludoviciana","f","N1A",17,6.5
52,"artemisia_ludoviciana","f","N4B",15,3.2
54,"asclepias_stenophylla","f","N1A",1,1
55,"asclepias_verticillata","f","N1A",8,1.0625
55,"asclepias_verticillata","f","N4B",16,1.0625
56,"asclepias_viridis","f","N1A",4,6
56,"asclepias_viridis","f","N4B",2,4
58,"symphyotrichum_ericoides","f","N1A",39,3.93589743589744
58,"symphyotrichum_ericoides","f","N4B",48,3.86458333333333
59,"symphyotrichum_oblongifolium","f","N1A",6,3.66666666666667
59,"symphyotrichum_oblongifolium","f","N4B",22,4.40909090909091
60,"symphyotrichum_sericeum","f","N4B",1,5
61,"astragalus_crassicarpus","f","N1A",7,1.14285714285714
61,"astragalus_crassicarpus","f","N4B",6,1
62,"astragalus_lotiflorus","f","N1A",1,1
69,"callirhoe_involucrata","f","N1A",5,3.3
69,"callirhoe_involucrata","f","N4B",4,1.75
70,"cirsium_undulatum","f","N1A",2,2.75
70,"cirsium_undulatum","f","N4B",3,3.66666666666667
71,"conyza_canadensis","f","N1A",17,2.64705882352941
71,"conyza_canadensis","f","N4B",1,1
72,"croton_monanthogynus","f","N1A",16,1.375
72,"croton_monanthogynus","f","N4B",23,1.32608695652174
73,"delphinium_carolinianum","f","N1A",1,1
74,"descurainia_pinnata","f","N1A",2,1
75,"draba_reptans","f","N1A",19,1
75,"draba_reptans","f","N4B",2,1
76,"echinacea_angustifolia","f","N1A",2,1.5
76,"echinacea_angustifolia","f","N4B",14,2.64285714285714
77,"erigeron_strigosus","f","N1A",18,1.97222222222222
77,"erigeron_strigosus","f","N4B",1,1
78,"euphorbia_marginata","f","N1A",3,1
78,"euphorbia_marginata","f","N4B",4,1.25
79,"euphorbia_spathulata","f","N1A",17,1.47058823529412
80,"euphorbia_glyptosperma","f","N1A",13,1.46153846153846
80,"euphorbia_glyptosperma","f","N4B",1,1
82,"hedeoma_hispida","f","N1A",9,1.11111111111111
82,"hedeoma_hispida","f","N4B",2,1
83,"hieracium_longipilum","f","N4B",1,1
84,"hybanthus_verticillatus","f","N1A",7,1
84,"hybanthus_verticillatus","f","N4B",16,1.34375
85,"hymenopappus_scabiosaeus","f","N1A",10,1.95
85,"hymenopappus_scabiosaeus","f","N4B",2,1.5
86,"brickellia_eupatorioides","f","N1A",38,3.44736842105263
86,"brickellia_eupatorioides","f","N4B",26,1.88461538461538
89,"lepidium_densiflorum","f","N1A",21,3.76190476190476
89,"lepidium_densiflorum","f","N4B",16,1
90,"lespedeza_capitata","f","N1A",31,3.20967741935484
90,"lespedeza_capitata","f","N4B",9,2.22222222222222
91,"liatris_punctata","f","N1A",2,1
91,"liatris_punctata","f","N4B",7,3.28571428571429
92,"linum_sulcatum","f","N1A",25,3.28
92,"linum_sulcatum","f","N4B",16,1
93,"lithospermum_incisum","f","N1A",1,1
93,"lithospermum_incisum","f","N4B",6,1
94,"lomatium_foeniculaceum","f","N1A",2,3.5
94,"lomatium_foeniculaceum","f","N4B",6,1.33333333333333
99,"oenothera_speciosa","f","N1A",7,1.42857142857143
99,"oenothera_speciosa","f","N4B",4,1
100,"oenothera_biennis","f","N1A",5,1.6
102,"oxalis_stricta","f","N1A",21,1
102,"oxalis_stricta","f","N4B",19,1.05263157894737
103,"oxalis_violacea","f","N1A",30,4.21666666666667
103,"oxalis_violacea","f","N4B",35,2.81428571428571
104,"penstemon_cobaea","f","N1A",2,2
104,"penstemon_cobaea","f","N4B",11,1.13636363636364
106,"dalea_candida","f","N1A",18,2.27777777777778
106,"dalea_candida","f","N4B",5,1.6
107,"dalea_multiflora","f","N1A",12,5.08333333333333
107,"dalea_multiflora","f","N4B",1,3
109,"dalea_purpurea","f","N1A",17,2.17647058823529
109,"dalea_purpurea","f","N4B",31,2.16129032258065
111,"physalis_pumila","f","N1A",19,2.47368421052632
111,"physalis_pumila","f","N4B",22,2.20454545454545
112,"physalis_virginiana","f","N1A",8,1.4375
112,"physalis_virginiana","f","N4B",1,1
114,"plantago_rhodosperma","f","N1A",20,5.925
114,"plantago_rhodosperma","f","N4B",16,1.15625
115,"polygala_verticillata","f","N1A",12,1
115,"polygala_verticillata","f","N4B",6,1
116,"pediomelum_esculentum","f","N1A",4,1.125
116,"pediomelum_esculentum","f","N4B",6,2.33333333333333
118,"ratibida_columnifera","f","N1A",16,1.78125
118,"ratibida_columnifera","f","N4B",8,1.4375
120,"ruellia_humilis","f","N1A",20,1.55
120,"ruellia_humilis","f","N4B",22,1.27272727272727
121,"salvia_azurea","f","N1A",3,1.33333333333333
121,"salvia_azurea","f","N4B",4,1.125
122,"mimosa_quadrivalvis","f","N1A",8,3.25
122,"mimosa_quadrivalvis","f","N4B",20,9.3
123,"packera_plattensis","f","N1A",2,2.5
123,"packera_plattensis","f","N4B",6,1
124,"silene_antirrhina","f","N1A",8,1.875
124,"silene_antirrhina","f","N4B",6,1.16666666666667
125,"sisyrinchium_campestre","m","N1A",3,1
125,"sisyrinchium_campestre","m","N4B",8,1.25
126,"solanum_carolinense","f","N1A",4,1.625
126,"solanum_carolinense","f","N4B",3,2.83333333333333
127,"solidago_altissima","f","N1A",30,32.2
127,"solidago_altissima","f","N4B",11,8
128,"solidago_missouriensis","f","N1A",10,6.2
128,"solidago_missouriensis","f","N4B",14,3.39285714285714
129,"solidago_mollis","f","N1A",1,4
130,"solidago_rigida","f","N1A",15,4.03333333333333
130,"solidago_rigida","f","N4B",15,2.1
132,"spermolepis_inermis","f","N1A",10,4.3
132,"spermolepis_inermis","f","N4B",1,1
134,"tragia_betonicifolia","f","N1A",2,3.25
134,"tragia_betonicifolia","f","N4B",29,1.81034482758621
136,"triodanis_leptocarpa","f","N1A",2,1
137,"triodanis_perfoliata","f","N1A",9,1.55555555555556
137,"triodanis_perfoliata","f","N4B",1,1
138,"glandularia_bipinnatifida","f","N1A",7,1.57142857142857
138,"glandularia_bipinnatifida","f","N4B",5,1.5
139,"verbena_stricta","f","N1A",46,1.5
139,"verbena_stricta","f","N4B",35,1.05714285714286
140,"vernonia_baldwinii","f","N1A",42,6.57142857142857
140,"vernonia_baldwinii","f","N4B",18,3.47222222222222
141,"viola_bicolor","f","N1A",2,1.5
141,"viola_bicolor","f","N4B",2,1
143,"lespedeza_violacea","f","N1A",34,31.6911764705882
143,"lespedeza_violacea","f","N4B",7,16.7857142857143
148,"prunus_americana","w","N1A",2,3
149,"scutellaria_parvula","f","N1A",1,1
149,"scutellaria_parvula","f","N4B",10,1
150,"agrostis_hyemalis","g","N4B",1,15
151,"kummerowia_stipulacea","f","N1A",16,2.65625
151,"kummerowia_stipulacea","f","N4B",1,1
152,"asclepias_viridiflora","f","N1A",2,1
152,"asclepias_viridiflora","f","N4B",4,1
155,"agalinis_aspera","f","N1A",1,4
155,"agalinis_aspera","f","N4B",1,11
156,"acalypha_virginica","f","N1A",1,1
158,"ulmus_americana","w","N1A",19,1.23684210526316
158,"ulmus_americana","w","N4B",13,1
162,"taraxacum_officinale","f","N1A",1,5
164,"cornus_drummondii","w","N1A",2,1.5
164,"cornus_drummondii","w","N4B",2,1
165,"cyperus_spp.","s","N1A",11,1.09090909090909
165,"cyperus_spp.","s","N4B",6,1
183,"grindelia_squarrosa","f","N1A",2,5
187,"verbascum_blattaria","f","N4B",1,1
193,"euphorbia_dentata","f","N1A",6,1.41666666666667
194,"physalis_heterophylla","f","N1A",4,3
206,"viola_nephrophylla","f","N1A",5,1.7
206,"viola_nephrophylla","f","N4B",2,1
208,"solanum_rostratum","f","N1A",2,8.5
211,"ambrosia_artemisiifolia","f","N1A",20,4.3
211,"ambrosia_artemisiifolia","f","N4B",8,5.375
216,"euphorbia_serpens","f","N4B",14,2.85714285714286
217,"helianthus_annuus","f","N1A",1,1
218,"tridens_flavus","g","N1A",6,4.41666666666667
218,"tridens_flavus","g","N4B",1,2
223,"stenaria_nigricans","f","N1A",4,1.25
231,"toxicodendron_radicans","w","N1A",1,4
234,"rhus_glabra","w","N1A",24,13.5416666666667
234,"rhus_glabra","w","N4B",1,1
253,"mirabilis_linearis","f","N1A",5,1.1
253,"mirabilis_linearis","f","N4B",2,1
256,"trichostema_brachiatum","f","N1A",2,1
262,"rhus_aromatica","w","N1A",1,1
265,"asclepias_sullivantii","f","N1A",1,1
270,"symphyotrichum_lanceolatum","f","N1A",2,1
270,"symphyotrichum_lanceolatum","f","N4B",2,1
300,"euphorbia_nutans","f","N1A",53,1.45283018867925
300,"euphorbia_nutans","f","N4B",34,1.02941176470588
327,"malvastrum_angustum","f","N1A",9,1.05555555555556
327,"malvastrum_angustum","f","N4B",9,1
338,"plantago_patagonica","f","N1A",3,1
338,"plantago_patagonica","f","N4B",1,1
340,"muhlenbergia_racemosa","g","N4B",2,3.5
384,"solanum_ptycanthum","f","N1A",1,1
407,"cirsium_altissimum","f","N1A",1,1
407,"cirsium_altissimum","f","N4B",5,1.4
428,"evolvulus_nuttallianus","f","N1A",5,1
428,"evolvulus_nuttallianus","f","N4B",8,1.3125
429,"ipomoea_hederacea","f","N1A",2,2
433,"desmodium_paniculatum","f","N1A",4,4.375
438,"ammannia_coccinea","f","N4B",1,2
501,"ophioglossum_vulgatum","o","N4B",3,1
510,"ulmus_rubra","w","N4B",2,1
519,"carex_austrina","s","N1A",23,4.15217391304348
519,"carex_austrina","s","N4B",7,2.21428571428571
523,"euphorbia_maculata","f","N4B",6,1.33333333333333
525,"arenaria_serpyllifolia","f","N1A",1,1
525,"arenaria_serpyllifolia","f","N4B",1,1
539,"lepidium_virginicum","f","N4B",6,1.16666666666667
