year,season,date,watershed,block,plot,sppnum,taxa,cover,notes
2022,early,6/8/2022,N1A,C,1,103,Oxalis stricta,3,
2022,early,6/8/2022,N1A,C,4,120,Ruellia humilis,1,
2022,late,8/11/2022,N1A,C,4,120,Ruellia humilis,2,
2022,early,6/8/2022,N1A,C,1,120,Ruellia humilis,2,
2022,late,8/11/2022,N1A,C,5,127,Solidago altissima,2,
2022,late,8/11/2022,N1A,C,4,127,Solidago altissima,2,
2022,late,8/11/2022,N1A,C,1,127,Solidago altissima,1,
2022,early,6/8/2022,N1A,C,5,139,Verbena stricta,1,
2022,late,8/11/2022,N1A,C,5,139,Verbena stricta,3,
2022,late,8/11/2022,N1A,C,5,140,Vernonia baldwinii,2,
2022,late,8/11/2022,N1A,C,4,140,Vernonia baldwinii,2,
2022,late,8/11/2022,N1A,C,1,140,Vernonia baldwinii,1,
2022,late,8/11/2022,N4B,P,4,93,Lithospermum incisum,1,
2022,early,6/8/2022,N4B,P,4,122,Mimosa (Schrankii) quadrivalvis,1,
2022,late,8/11/2022,N4B,P,4,122,Mimosa (Schrankii) quadrivalvis,4,
2022,early,6/8/2022,N4B,P,1,103,Oxalis violacea,2,
2022,late,8/11/2022,N4B,P,4,104,Penstemon cobaea,1,
2022,late,8/11/2022,N4B,P,1,127,Solidago altissima,3,
2022,late,8/11/2022,N4B,P,5,59,Symphyotrichym (Aster) oblongifolium,3,
2022,early,6/8/2022,N4B,P,1,134,Tragia betonicifolia,1,
2022,late,8/11/2022,N4B,P,1,134,Tragia betonicifolia,1,
2022,late,8/11/2022,N4B,P,5,2,Andropogon gerardii,70,
2022,late,8/11/2022,N4B,P,1,2,Andropogon gerardii,40,
2022,late,8/11/2022,N4B,P,4,2,Andropogon gerardii,25,
2022,late,8/11/2022,N4B,P,5,4,Bouteloua curtipendula,12,
2022,late,8/11/2022,N4B,P,1,4,Bouteloua curtipendula,8,
2022,late,8/11/2022,N4B,P,4,4,Bouteloua curtipendula,10,
2022,early,6/8/2022,N4B,P,4,5,Bouteloua gracillis,1,
2022,late,8/11/2022,N4B,P,4,6,Bouteloua hirsuta,3,
2022,late,8/11/2022,N4B,P,1,15,Panicum virgatum,1,
2022,late,8/11/2022,N4B,P,5,3,Schizachyrium scoparium,10,
2022,late,8/11/2022,N4B,P,1,3,Schizachyrium scoparium,30,
2022,late,8/11/2022,N4B,P,4,3,Schizachyrium scoparium,70,
2022,late,8/11/2022,N4B,P,5,18,Sorghastrum nutans,15,
2022,late,8/11/2022,N4B,P,1,18,Sorghastrum nutans,20,
2022,late,8/11/2022,N4B,P,4,18,Sorghastrum nutans,3,
2022,late,8/11/2022,N4B,P,5,21,Sporobolus compositus (asper),1,
2022,late,8/11/2022,N4B,P,1,21,Sporobolus compositus (asper),2,
2022,late,8/11/2022,N4B,P,4,21,Sporobolus compositus (asper),3,
2022,early,6/8/2022,N4B,P,5,33,Carex inops (heliophila),1,
2022,late,8/11/2022,N4B,P,5,46,Ambrosia psilostachya,1,
2022,late,8/11/2022,N4B,P,4,86,Brickelia (Kuhnia) eupatoroides,1,
2022,early,6/8/2022,N4B,P,1,72,Croton monanthogynus,1,
2022,late,8/11/2022,N4B,P,1,72,Croton monanthogynus,2,
2022,early,6/8/2022,N4B,P,5,109,Dalea purpurea,2,
2022,early,6/8/2022,N4B,P,5,76,Echinacea angustifolia,2,
2022,early,6/8/2022,N4B,P,4,76,Echinacea angustifolia,1,
2022,early,6/8/2022,N4B,P,1,523,Euphorbia maculata,1,
2022,early,6/8/2022,N4B,P,1,300,Euphorbia nutans,1,
2022,late,8/11/2022,N4B,P,1,300,Euphorbia nutans,2,
2022,early,6/8/2022,N4B,P,5,223,Stenaria nigricans,7,or 2?
2022,early,6/8/2022,N4B,P,5,85,Hymenopappus scabiosaeus,2,
2022,late,8/11/2022,N4B,P,1,43,Symphoricarpos (Aster) orbiculatus,3,
2022,early,6/8/2022,N4B,P,1,50,Apocynum cannabinum,13,
2022,late,8/11/2022,N4B,P,1,50,Apocynum cannabinum,22,
2022,late,8/11/2022,N4B,P,1,42,Rosa arkansana,4,
2022,late,8/11/2022,N4B,P,5,223,Stenaria nigricans,1,
2022,late,8/11/2022,N4B,P,6,2,Andropogon gerardii,25,
2022,late,8/11/2022,N4B,P,3,2,Andropogon gerardii,15,
2022,late,8/11/2022,N4B,P,2,2,Andropogon gerardii,1,
2022,late,8/11/2022,N4B,P,6,4,Bouteloua curtipendula,55,
2022,late,8/11/2022,N4B,P,3,4,Bouteloua curtipendula,30,
2022,late,8/11/2022,N4B,P,3,11,Eragrostis spectabilis,3,
2022,late,8/11/2022,N4B,P,6,15,Panicum virgatum,1,
2022,late,8/11/2022,N4B,P,6,3,Schizachyrium scoparium,3,
2022,late,8/11/2022,N4B,P,3,3,Schizachyrium scoparium,10,
2022,late,8/11/2022,N4B,P,2,3,Schizachyrium scoparium,2,
2022,late,8/11/2022,N4B,P,6,18,Sorghastrum nutans,15,
2022,late,8/11/2022,N4B,P,3,18,Sorghastrum nutans,40,
2022,late,8/11/2022,N4B,P,3,21,Sporobolus compositus (asper),8,
2022,late,8/11/2022,N4B,P,6,46,Ambrosia psilostachya,1,
2022,late,8/11/2022,N4B,P,3,46,Ambrosia psilostachya,2,
2022,early,6/8/2022,N4B,P,6,61,Astragalus crassicarpus,2,
2022,late,8/11/2022,N4B,P,3,86,Brickelia (Kuhnia) eupatoroides,1,
2022,early,6/8/2022,N4B,P,6,72,Croton monanthogynus,1,
2022,early,6/8/2022,N4B,P,2,72,Croton monanthogynus,1,
2022,early,6/8/2022,N4B,P,6,109,Dalea purpurea,3,
2022,early,6/8/2022,N4B,P,3,109,Dalea purpurea,1,
2022,late,8/11/2022,N4B,P,3,109,Dalea purpurea,1,
2022,early,6/8/2022,N4B,P,6,216,Euphorbia nutans ,1,
2022,late,8/11/2022,N4B,P,6,92,Linum sulctum,1,
2022,late,8/11/2022,N4B,P,3,92,Linum sulctum,1,
2022,early,6/8/2022,N4B,P,6,94,Lomatium foeniculaceum,2,
2022,early,6/8/2022,N4B,P,2,102,Oxalis stricta,1,
2022,early,6/8/2022,N4B,P,3,103,Oxalis violacea,3,
2022,early,6/8/2022,N4B,P,2,103,Oxalis violacea,1,
2022,early,6/8/2022,N4B,P,3,104,Penstemon cobaea,1,
2022,early,6/8/2022,N4B,P,3,111,Physalis pumila,2,
2022,late,8/11/2022,N4B,P,2,111,Physalis pumila,1,
2022,early,6/8/2022,N4B,P,3,114,Plantago rhodosperma,1,
2022,early,6/8/2022,N4B,P,6,118,Ratibida columnifera,1,
2022,early,6/8/2022,N4B,P,3,120,Ruellia humilis,1,
2022,late,8/11/2022,N4B,P,2,127,Solidago altissima,2,
2022,late,8/11/2022,N4B,P,6,130,Solidago rigida,1,
2022,late,8/11/2022,N4B,P,6,58,Symphyotrichym (Aster) ericoides,4,
2022,late,8/11/2022,N4B,P,3,58,Symphyotrichym (Aster) ericoides,2,
2022,late,8/11/2022,N4B,P,6,59,Symphyotrichym (Aster) oblongifolium,2,
2022,late,8/11/2022,N4B,P,3,59,Symphyotrichym (Aster) oblongifolium,1,
2022,early,6/8/2022,N4B,P,6,134,Tragia betonicifolia,1,
2022,early,6/8/2022,N4B,P,3,134,Tragia betonicifolia,1,
2022,early,6/8/2022,N4B,P,2,134,Tragia betonicifolia,1,
2022,late,8/11/2022,N4B,P,3,140,Vernonia baldwinii,3,
2022,late,8/11/2022,N4B,P,2,140,Vernonia baldwinii,1,
2022,early,6/8/2022,N4B,P,6,50,Apocynum cannabinum,4,
2022,late,8/11/2022,N4B,P,6,50,Apocynum cannabinum,6,
2022,early,6/8/2022,N4B,P,3,50,Apocynum cannabinum,6,
2022,early,6/8/2022,N4B,P,3,50,Apocynum cannabinum,30,
2022,early,6/8/2022,N4B,P,6,85,Hymenopappus scabiosaeus,2,
2022,early,6/8/2022,N4B,P,2,43,Symphoricarpos (Aster) orbiculatus,100,
2022,early,6/8/2022,N4B,P,2,126,Solanum carolinense,2,
2022,early,6/8/2022,N4B,P,2,99,Oenothera speciosa,1,
2022,late,8/11/2022,N4B,P,2,523,Euphorbia maculata ,1,
2022,late,8/11/2022,N4B,P,2,356,Galium circaezans,1,
2022,late,8/11/2022,N4B,Q,5,2,Andropogon gerardii,45,
2022,late,8/11/2022,N4B,Q,4,2,Andropogon gerardii,35,
2022,late,8/11/2022,N4B,Q,1,2,Andropogon gerardii,50,
2022,late,8/11/2022,N4B,Q,5,7,Bouteloua curtipendula,10,
2022,late,8/11/2022,N4B,Q,4,7,Bouteloua curtipendula,30,
2022,late,8/11/2022,N4B,Q,1,7,Bouteloua curtipendula,15,
2022,late,8/11/2022,N4B,Q,5,15,Panicum virgatum,6,
2022,late,8/11/2022,N4B,Q,5,3,Schizachyrium scoparium,18,
2022,late,8/11/2022,N4B,Q,1,3,Schizachyrium scoparium,3,
2022,late,8/11/2022,N4B,Q,5,18,Sorghastrum nutans,17,
2022,late,8/11/2022,N4B,Q,4,18,Sorghastrum nutans,4,
2022,late,8/11/2022,N4B,Q,1,18,Sorghastrum nutans,12,
2022,late,8/11/2022,N4B,Q,5,21,Sporobolus compositus (asper),3,
2022,late,8/11/2022,N4B,Q,4,21,Sporobolus compositus (asper),18,
2022,late,8/11/2022,N4B,Q,1,21,Sporobolus compositus (asper),10,
2022,late,8/11/2022,N4B,Q,1,46,Ambrosia psilostachya,11,
2022,early,6/8/2022,N4B,Q,4,72,Croton monanthogynus,1,
2022,early,6/8/2022,N4B,Q,1,72,Croton monanthogynus,1,
2022,early,6/8/2022,N4B,Q,5,76,Echinacea angustifolia,4,
2022,early,6/8/2022,N4B,Q,5,300,Euphorbia nutans,1,
2022,early,6/8/2022,N4B,Q,4,84,Hybanthus verticiliatus,3,
2022,early,6/8/2022,N4B,Q,1,84,Hybanthus verticiliatus,1,
2022,early,6/8/2022,N4B,Q,4,91,Liatris punctata,9,
2022,late,8/11/2022,N4B,Q,4,91,Liatris punctata,8,
2022,early,6/8/2022,N4B,Q,5,92,Linum sulctum,1,
2022,early,6/8/2022,N4B,Q,5,122,Mimosa (Schrankii) quadrivalvis,8,
2022,late,8/11/2022,N4B,Q,5,122,Mimosa (Schrankii) quadrivalvis,8,
2022,early,6/8/2022,N4B,Q,4,122,Mimosa (Schrankii) quadrivalvis,5,
2022,late,8/11/2022,N4B,Q,4,122,Mimosa (Schrankii) quadrivalvis,4,
2022,early,6/8/2022,N4B,Q,1,122,Mimosa (Schrankii) quadrivalvis,6,
2022,late,8/11/2022,N4B,Q,1,122,Mimosa (Schrankii) quadrivalvis,9,
2022,early,6/8/2022,N4B,Q,1,103,Oxalis stricta,1,
2022,early,6/8/2022,N4B,Q,4,123,Packera (Senecio) plattensis,1,
2022,early,6/8/2022,N4B,Q,4,116,Pediomelum (Psoralea) esculentum,2,
2022,early,6/8/2022,N4B,Q,1,116,Pediomelum (Psoralea) esculentum,1,
2022,early,6/8/2022,N4B,Q,1,104,Penstemon cobaea,1,
2022,early,6/8/2022,N4B,Q,4,111,Physalis pumila,1,
2022,late,8/11/2022,N4B,Q,4,111,Physalis pumila,2,
2022,early,6/8/2022,N4B,Q,1,111,Physalis pumila,1,
2022,early,6/8/2022,N4B,Q,4,118,Ratibida columnifera,1,
2022,early,6/8/2022,N4B,Q,1,118,Ratibida columnifera,1,
2022,late,8/11/2022,N4B,Q,5,59,Symphyotrichym (Aster) oblongifolium,4,
2022,late,8/11/2022,N4B,Q,4,59,Symphyotrichym (Aster) oblongifolium,2,
2022,early,6/8/2022,N4B,Q,4,134,Tragia betonicifolia,1,
2022,early,6/8/2022,N4B,Q,1,134,Tragia betonicifolia,6,
2022,late,8/11/2022,N4B,Q,1,134,Tragia betonicifolia,8,
2022,late,8/11/2022,N4B,Q,4,140,Vernonia baldwinii,3,
2022,early,6/8/2022,N4B,Q,4,410,Eupatorium altissimum,3,
2022,late,8/11/2022,N4B,Q,1,410,Eupatorium altissimum,3,
2022,late,8/11/2022,N4B,Q,1,126,Solanum carolinense,1,
2022,late,8/11/2022,N4B,N,3,2,Andropogon gerardii,20,
2022,late,8/11/2022,N4B,N,6,2,Andropogon gerardii,15,
2022,late,8/11/2022,N4B,N,5,2,Andropogon gerardii,12,
2022,late,8/11/2022,N4B,N,3,4,Bouteloua curtipendula,12,
2022,late,8/11/2022,N4B,N,5,4,Bouteloua curtipendula,3,
2022,early,6/8/2022,N4B,N,3,14,Dichanthelum oligosanthes,3,
2022,early,6/8/2022,N4B,N,6,14,Dichanthelum oligosanthes,2,
2022,early,6/8/2022,N4B,N,5,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N4B,N,3,3,Schizachyrium scoparium,30,
2022,late,8/11/2022,N4B,N,6,3,Schizachyrium scoparium,60,
2022,late,8/11/2022,N4B,N,5,3,Schizachyrium scoparium,40,
2022,late,8/11/2022,N4B,N,3,18,Sorghastrum nutans,40,
2022,late,8/11/2022,N4B,N,6,18,Sorghastrum nutans,30,
2022,late,8/11/2022,N4B,N,5,18,Sorghastrum nutans,50,
2022,late,8/11/2022,N4B,N,3,21,Sporobolus compositus (asper),1,
2022,late,8/11/2022,N4B,N,6,21,Sporobolus compositus (asper),3,
2022,late,8/11/2022,N4B,N,5,21,Sporobolus compositus (asper),2,
2022,early,6/8/2022,N4B,N,3,31,Carex brevior,4,
2022,early,6/8/2022,N4B,N,6,31,Carex brevior,4,
2022,early,6/8/2022,N4B,N,5,31,Carex brevior,1,
2022,early,6/8/2022,N4B,N,3,33,Carex inops (heliophila),1,
2022,early,6/8/2022,N4B,N,5,33,Carex inops (heliophila),1,
2022,early,6/8/2022,N4B,N,3,34,Carex meadii,2,
2022,early,6/8/2022,N4B,N,6,34,Carex meadii,1,
2022,early,6/8/2022,N4B,N,5,34,Carex meadii,3,
2022,late,8/11/2022,N4B,N,3,46,Ambrosia psilostachya,5,
2022,late,8/11/2022,N4B,N,6,46,Ambrosia psilostachya,1,
2022,late,8/11/2022,N4B,N,5,46,Ambrosia psilostachya,8,
2022,late,8/11/2022,N4B,N,3,50,Apocynum cannabinum,4,
2022,late,8/11/2022,N4B,N,6,52,Artemesia ludoviciana,1,
2022,late,8/11/2022,N4B,N,5,52,Artemesia ludoviciana,1,
2022,early,6/8/2022,N4B,N,6,55,Asclepias verticillata,1,
2022,early,6/8/2022,N4B,N,6,300,Euphorbia nutans,1,
2022,early,6/8/2022,N4B,N,6,89,Lepidium densiflorum,1,
2022,late,8/11/2022,N4B,N,3,90,Lespedeza capitata,5,
2022,late,8/11/2022,N4B,N,6,90,Lespedeza capitata,6,
2022,early,6/8/2022,N4B,N,3,103,Oxalis violacea,1,
2022,early,6/8/2022,N4B,N,6,103,Oxalis violacea,1,
2022,early,6/8/2022,N4B,N,5,103,Oxalis violacea,1,
2022,early,6/8/2022,N4B,N,3,120,Ruellia humilis,1,
2022,early,6/8/2022,N4B,N,6,120,Ruellia humilis,1,
2022,late,8/11/2022,N4B,N,5,127,Solidago altissima,4,
2022,late,8/11/2022,N4B,N,6,128,Solidago missouriensis,2,
2022,late,8/11/2022,N4B,N,6,130,Solidago rigida,3,
2022,early,6/8/2022,N4B,N,6,132,Spermolepis inermis,1,
2022,late,8/11/2022,N4B,N,3,58,Symphyotrichym (Aster) oblongifolium,5,
2022,late,8/11/2022,N4B,N,6,58,Symphyotrichym (Aster) oblongifolium,5,
2022,late,8/11/2022,N4B,N,5,58,Symphyotrichym (Aster) oblongifolium,4,
2022,early,6/8/2022,N4B,N,3,139,Verbena stricta,1,
2022,early,6/8/2022,N4B,N,6,139,Verbena stricta,1,
2022,early,6/8/2022,N4B,N,3,141,Viola bicolor (rafinesque),1,
2022,early,6/8/2022,N4B,N,3,112,Physalis virginiana,1,
2022,late,8/11/2022,N4B,N,6,43,Symphoricarpos (Aster) orbiculatus,4,
2022,late,8/11/2022,N4B,N,6,124,Silene antirrhina,1,
2022,late,8/11/2022,N4B,N,6,99,Oenothera speciosa,1,showy
2022,late,8/11/2022,N4B,N,6,12,Koeleria macrantha,1,
2022,late,8/11/2022,N4B,N,6,501,Ophioglossum vulgatum,1,Unknown basal leaf monocot 
2022,late,8/11/2022,N4B,N,6,44,Achillea millefolium,1,
2022,late,8/11/2022,N4B,N,6,27,Vulpia octoflora,1,
2022,late,8/11/2022,N1A,G,6,2,Andropogon gerardii,60,
2022,late,8/11/2022,N1A,G,3,2,Andropogon gerardii,70,
2022,late,8/11/2022,N1A,G,2,2,Andropogon gerardii,35,
2022,late,8/11/2022,N1A,G,6,4,Bouteloua curtipendula,30,
2022,late,8/11/2022,N1A,G,3,4,Bouteloua curtipendula,8,
2022,late,8/11/2022,N1A,G,2,4,Bouteloua curtipendula,7,
2022,late,8/11/2022,N1A,G,6,5,Bouteloua gracillis,2,
2022,early,6/8/2022,N1A,G,2,6,Bouteloua hirsuta,2,
2022,late,8/11/2022,N1A,G,6,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N1A,G,6,3,Schizachyrium scoparium,2,
2022,late,8/11/2022,N1A,G,3,3,Schizachyrium scoparium,1,
2022,late,8/11/2022,N1A,G,2,3,Schizachyrium scoparium,45,
2022,late,8/11/2022,N1A,G,6,18,Sorghastrum nutans,4,
2022,late,8/11/2022,N1A,G,3,18,Sorghastrum nutans,2,
2022,late,8/11/2022,N1A,G,2,18,Sorghastrum nutans,20,
2022,early,6/8/2022,N1A,G,3,34,Carex meadii,1,
2022,late,8/11/2022,N1A,G,6,46,Ambrosia psilostachya,1,
2022,early,6/8/2022,N1A,G,3,61,Asclepias crassicarpus,1,
2022,late,8/11/2022,N1A,G,2,86,Brickelia (Kuhnia) eupatoroides,2,
2022,early,6/8/2022,N1A,G,3,106,Dalea candida,1,
2022,early,6/8/2022,N1A,G,6,107,Dalea multiflora,2,
2022,early,6/8/2022,N1A,G,6,109,Dalea purpurea,1,
2022,early,6/8/2022,N1A,G,2,109,Dalea purpurea,2,
2022,late,8/11/2022,N1A,G,6,223,Stenaria nigricans,1,
2022,early,6/8/2022,N1A,G,3,407,Cirsium altissimum,1,
2022,early,6/8/2022,N1A,G,2,223,Stenaria nigricans,1,
2022,early,6/8/2022,N1A,G,3,125,Sisyrinchium campestre,1,
2022,early,6/8/2022,N1A,G,6,93,Lithospermum incisum,1,
2022,early,6/8/2022,N1A,G,3,93,Lithospermum incisum,1,
2022,early,6/8/2022,N1A,G,6,149,Scutellaria parvula,1,
2022,early,6/8/2022,N1A,G,6,123,Packera (Senecio) plattensis,1,
2022,early,6/8/2022,N1A,G,2,79,Euphorbia spathulata,1,Unknown clustertop
2022,late,8/11/2022,N1A,G,3,0,Bare ground,10,
2022,late,8/11/2022,N1A,G,6,208,Solanum rostratum,1,
2022,late,8/11/2022,N1A,G,3,208,Solanum rostratum,1,
2022,late,8/11/2022,N1A,G,6,523,Euphorbia maculata ,1,
2022,early,6/8/2022,N1A,G,6,300,Euphorbia nutans ,1,
2022,late,8/11/2022,N1A,G,2,90,Lespedeza capitata,1,
2022,early,6/8/2022,N1A,G,2,143,Lespedeza violacea,1,
2022,early,6/8/2022,N1A,G,6,122,Mimosa (Schrankii) quadrivalvis,1,
2022,early,6/8/2022,N1A,G,2,122,Mimosa (Schrankii) quadrivalvis,10,
2022,early,6/8/2022,N1A,G,6,103,Oxalis violacea,2,
2022,early,6/8/2022,N1A,G,6,111,Physalis pumila,1,
2022,early,6/8/2022,N1A,G,6,114,Plantago rhodosperma,1,
2022,early,6/8/2022,N1A,G,6,118,Ratibida columnifera,1,
2022,late,8/11/2022,N1A,G,6,128,Solidago missouriensis,2,
2022,late,8/11/2022,N1A,G,6,58,Symphyotrichym (Aster) oblongifolium,2,
2022,late,8/11/2022,N1A,G,3,58,Symphyotrichym (Aster) oblongifolium,1,
2022,late,8/11/2022,N1A,G,2,58,Symphyotrichym (Aster) oblongifolium,7,
2022,early,6/8/2022,N1A,G,6,139,Verbena stricta,1,
2022,late,8/11/2022,N1A,G,6,139,Verbena stricta,1,
2022,late,8/11/2022,N1A,G,2,139,Verbena stricta,1,
2022,late,8/11/2022,N1A,G,6,140,Vernonia baldwinii,1,
2022,late,8/11/2022,N1A,G,3,140,Vernonia baldwinii,6,
2022,late,8/11/2022,N4B,M,6,2,Andropogon gerardii,10,
2022,late,8/11/2022,N4B,M,3,2,Andropogon gerardii,45,
2022,late,8/11/2022,N4B,M,2,2,Andropogon gerardii,40,
2022,late,8/11/2022,N4B,M,6,4,Bouteloua curtipendula,8,
2022,late,8/11/2022,N4B,M,3,4,Bouteloua curtipendula,30,
2022,late,8/11/2022,N4B,M,2,4,Bouteloua curtipendula,1,
2022,early,6/8/2022,N4B,M,6,14,Dichanthelum oligosanthes,4,
2022,early,6/8/2022,N4B,M,3,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N4B,M,6,3,Schizachyrium scoparium,65,
2022,late,8/11/2022,N4B,M,3,3,Schizachyrium scoparium,8,
2022,late,8/11/2022,N4B,M,2,3,Schizachyrium scoparium,40,
