year,season,date,watershed,block,plot,sppnum,taxa,cover,flw_cover,flw_number,notes
2021,Fall,8/13/2021,N1A,A,4,15,Panicum virgatum,6,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,3,Schizachyrium scoparium,55,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,18,Sorghastrum nutans,12,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,21,Sporobolus compositus,5,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,31,Carex brevior,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,46,Ambrosia psilostachya,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,52,Artemisia ludoviciana,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,109,Dalea purpurea,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,90,Lespedeza capitata,6,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,143,Lespedeza violacea,68,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,112,Physalis virginiana,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,42,Rosa arkansana,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,127,Solidago altissima,18,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,58,Symphyotrichum ericoides,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,140,Vernonia baldwinii,5,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,31,Carex brevior,1,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,32,Carex gravida,2,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,34,Carex meadii,5,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,180,Teucrium canadense,2,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,43,Symphoricarpos orbiculatus,8,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,143,Lespedeza violacea,34,NA,NA,
2021,Spring,5/22/2021,N1A,A,2,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,2,Andropogon gerardii,70,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,18,Sorghastrum nutans,60,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,218,Tridens flavus,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,52,Artemisia ludoviciana,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,86,Brickellia eupatorioides,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,180,Teucrium canadense,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,43,Symphoricarpos orbiculatus,4,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,143,Lespedeza violacea,25,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,127,Solidago altissima,7,NA,NA,
2021,Fall,8/13/2021,N1A,A,2,140,Vernonia baldwinii,5,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,34,Carex meadii,4,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,143,Lespedeza violacea,25,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,103,Oxalis violacea,2,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,111,Physalis pumila,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,234,Rhus glabra,3,NA,NA,
2021,Spring,5/23/2021,N1A,A,5,42,Rosa arkansana,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,2,Andropogon gerardii,55,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,18,Sorghastrum nutans,50,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,218,Tridens flavus,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,32,Carex gravida,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,86,Brickellia eupatorioides,7,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,143,Lespedeza violacea,55,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,111,Physalis pumila,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,42,Rosa arkansana,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,127,Solidago altissima,17,NA,NA,
2021,Fall,8/13/2021,N1A,A,5,140,Vernonia baldwinii,5,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,32,Carex gravida,2,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,34,Carex meadii,7,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,40,Amorpha canescens,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,43,Symphoricarpos orbiculatus,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,158,Ulmus americana,2,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,143,Lespedeza violacea,22,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,111,Physalis pumila,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,1,42,Rosa arkansana,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,2,Andropogon gerardii,55,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,3,Schizachyrium scoparium,5,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,18,Sorghastrum nutans,40,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,46,Ambrosia psilostachya,6,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,86,Brickellia eupatorioides,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,143,Lespedeza violacea,80,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,111,Physalis pumila,5,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,42,Rosa arkansana,4,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,127,Solidago altissima,19,NA,NA,
2021,Fall,8/13/2021,N1A,A,1,140,Vernonia baldwinii,21,NA,NA,
2021,Spring,5/23/2021,N1A,B,6,34,Carex meadii,3,NA,NA,
2021,Spring,5/23/2021,N1A,B,6,546,Desmodium perplexum,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,6,143,Lespedeza violacea,24,NA,NA,
2021,Spring,5/23/2021,N1A,B,6,103,Oxalis violacea,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,6,234,Rhus glabra,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,2,Andropogon gerardii,25,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,18,Sorghastrum nutans,30,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,46,Ambrosia psilostachya,15,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,86,Brickellia eupatorioides,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,546,Desmodium perplexum,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,126,Solanum carolinense,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,300,Euphorbia nutans,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,90,Lespedeza capitata,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,143,Lespedeza violacea,60,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,234,Rhus glabra,4,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,127,Solidago altissima,16,NA,NA,
2021,Fall,8/13/2021,N1A,B,6,140,Vernonia baldwinii,11,NA,NA,
2021,Spring,5/23/2021,N1A,B,5,14,Dichanthelium oligosanthes,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,5,32,Carex gravida,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,5,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,5,34,Carex meadii,10,NA,NA,
2021,Spring,5/23/2021,N1A,B,5,143,Lespedeza violacea,65,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,2,Andropogon gerardii,30,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,4,Bouteloua curtipendula,3,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,3,Schizachyrium scoparium,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,18,Sorghastrum nutans,50,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,21,Sporobolus compositus,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,46,Ambrosia psilostachya,3,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,90,Lespedeza capitata,4,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,143,Lespedeza violacea,90,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,127,Solidago altissima,13,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,58,Symphyotrichum ericoides,12,NA,NA,
2021,Fall,8/13/2021,N1A,B,5,140,Vernonia baldwinii,11,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,34,Carex meadii,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,40,Amorpha canescens,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,55,Asclepias verticillata,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,194,Physalis heterophylla,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,143,Lespedeza violacea,16,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,122,Mimosa quadrivalvis,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,103,Oxalis violacea,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,2,234,Rhus glabra,5,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,2,Andropogon gerardii,95,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,3,Schizachyrium scoparium,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,18,Sorghastrum nutans,9,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,21,Sporobolus compositus,4,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,86,Brickellia eupatorioides,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,143,Lespedeza violacea,9,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,122,Mimosa quadrivalvis,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,111,Physalis pumila,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,234,Rhus glabra,13,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,127,Solidago altissima,12,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,58,Symphyotrichum ericoides,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,2,140,Vernonia baldwinii,7,NA,NA,
2021,Spring,5/23/2021,N1A,B,3,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,3,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,3,34,Carex meadii,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,3,143,Lespedeza violacea,10,NA,NA,
2021,Spring,5/23/2021,N1A,B,3,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,2,Andropogon gerardii,70,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,14,Dichanthelium oligosanthes,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,3,Schizachyrium scoparium,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,18,Sorghastrum nutans,20,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,218,Tridens flavus,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,34,Carex meadii,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,46,Ambrosia psilostachya,36,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,190,Setaria pumila,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,300,Euphorbia nutans,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,143,Lespedeza violacea,80,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,127,Solidago altissima,14,NA,NA,
2021,Fall,8/13/2021,N1A,B,3,140,Vernonia baldwinii,6,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,31,Carex brevior,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,34,Carex meadii,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,55,Asclepias verticillata,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,143,Lespedeza violacea,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,103,Oxalis violacea,25,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,112,Physalis virginiana,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,4,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,2,Andropogon gerardii,40,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,4,Bouteloua curtipendula,6,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,14,Dichanthelium oligosanthes,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,3,Schizachyrium scoparium,30,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,18,Sorghastrum nutans,20,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,46,Ambrosia psilostachya,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,86,Brickellia eupatorioides,9,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,90,Lespedeza capitata,11,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,143,Lespedeza violacea,8,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,127,Solidago altissima,21,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,58,Symphyotrichum ericoides,4,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,139,Verbena stricta,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,4,140,Vernonia baldwinii,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,1,14,Dichanthelium oligosanthes,2,NA,NA,
2021,Spring,5/23/2021,N1A,B,1,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,1,34,Carex meadii,6,NA,NA,
2021,Spring,5/23/2021,N1A,B,1,69,Callirhoe involucrata,5,NA,NA,
2021,Spring,5/23/2021,N1A,B,1,194,Physalis heterophylla,1,NA,NA,
2021,Spring,5/23/2021,N1A,B,1,143,Lespedeza violacea,60,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,2,Andropogon gerardii,95,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,14,Dichanthelium oligosanthes,2,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,3,Schizachyrium scoparium,5,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,18,Sorghastrum nutans,30,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,21,Sporobolus compositus,3,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,46,Ambrosia psilostachya,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,90,Lespedeza capitata,1,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,143,Lespedeza violacea,95,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,234,Rhus glabra,4,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,127,Solidago altissima,9,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,58,Symphyotrichum ericoides,6,NA,NA,
2021,Fall,8/13/2021,N1A,B,1,140,Vernonia baldwinii,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,6,34,Carex meadii,2,NA,NA,bison trail through plot
2021,Spring,5/23/2021,N1A,C,6,55,Asclepias verticillata,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,6,194,Physalis heterophylla,3,NA,NA,
2021,Spring,5/23/2021,N1A,C,6,429,Ipomoea hederacea,6,NA,NA,
2021,Spring,5/23/2021,N1A,C,6,9002,unknown_seedling,1,NA,NA,unknown seedling
2021,Spring,5/23/2021,N1A,C,6,143,Lespedeza violacea,35,NA,NA,
2021,Spring,5/23/2021,N1A,C,6,103,Oxalis violacea,2,NA,NA,
2021,Spring,5/23/2021,N1A,C,6,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,2,Andropogon gerardii,22,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,4,Bouteloua curtipendula,3,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,3,Schizachyrium scoparium,12,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,18,Sorghastrum nutans,30,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,46,Ambrosia psilostachya,4,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,86,Brickellia eupatorioides,2,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,194,Physalis heterophylla,3,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,384,Solanum ptycanthum,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,300,Euphorbia nutans,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,143,Lespedeza violacea,40,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,234,Rhus glabra,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,127,Solidago altissima,14,NA,NA,
2021,Fall,8/13/2021,N1A,C,6,140,Vernonia baldwinii,7,NA,NA,
2021,Spring,5/23/2021,N1A,C,4,33,Carex inops,1,NA,NA,very trampled
2021,Spring,5/23/2021,N1A,C,4,34,Carex meadii,4,NA,NA,
2021,Spring,5/23/2021,N1A,C,4,523,Euphorbia maculata,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,4,143,Lespedeza violacea,60,NA,NA,
2021,Spring,5/23/2021,N1A,C,4,122,Mimosa quadrivalvis,3,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,2,Andropogon gerardii,40,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,4,Bouteloua curtipendula,4,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,3,Schizachyrium scoparium,20,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,18,Sorghastrum nutans,50,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,46,Ambrosia psilostachya,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,86,Brickellia eupatorioides,16,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,120,Ruellia humilis,4,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,128,Solidago missouriensis,8,NA,NA,
2021,Fall,8/13/2021,N1A,C,4,140,Vernonia baldwinii,2,NA,NA,
2021,Spring,5/23/2021,N1A,C,5,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,5,34,Carex meadii,5,NA,NA,
2021,Spring,5/23/2021,N1A,C,5,143,Lespedeza violacea,17,NA,NA,
2021,Spring,5/23/2021,N1A,C,5,120,Ruellia humilis,3,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,2,Andropogon gerardii,65,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,3,Schizachyrium scoparium,4,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,18,Sorghastrum nutans,40,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,143,Lespedeza violacea,70,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,127,Solidago altissima,21,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,58,Symphyotrichum ericoides,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,5,140,Vernonia baldwinii,4,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,32,Carex gravida,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,33,Carex inops,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,34,Carex meadii,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,40,Amorpha canescens,3,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,125,Sisyrinchium campestre,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,523,Euphorbia maculata,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,143,Lespedeza violacea,15,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,103,Oxalis violacea,12,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,111,Physalis pumila,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,234,Rhus glabra,3,NA,NA,
2021,Spring,5/23/2021,N1A,C,3,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,2,Andropogon gerardii,6,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,4,Bouteloua curtipendula,5,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,3,Schizachyrium scoparium,55,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,18,Sorghastrum nutans,18,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,46,Ambrosia psilostachya,6,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,40,Amorpha canescens,11,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,52,Artemisia ludoviciana,3,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,86,Brickellia eupatorioides,4,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,190,Setaria pumila,2,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,300,Euphorbia nutans,3,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,143,Lespedeza violacea,60,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,234,Rhus glabra,5,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,58,Symphyotrichum ericoides,2,NA,NA,
2021,Fall,8/13/2021,N1A,C,3,140,Vernonia baldwinii,3,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,33,Carex inops,2,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,34,Carex meadii,5,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,55,Asclepias verticillata,2,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,523,Euphorbia maculata,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,143,Lespedeza violacea,35,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,111,Physalis pumila,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,2,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,2,Andropogon gerardii,30,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,3,Schizachyrium scoparium,85,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,18,Sorghastrum nutans,17,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,21,Sporobolus compositus,6,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,46,Ambrosia psilostachya,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,86,Brickellia eupatorioides,8,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,90,Lespedeza capitata,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,143,Lespedeza violacea,65,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,120,Ruellia humilis,2,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,127,Solidago altissima,10,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,128,Solidago missouriensis,1,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,58,Symphyotrichum ericoides,5,NA,NA,
2021,Fall,8/13/2021,N1A,C,2,140,Vernonia baldwinii,1,NA,NA,
2021,Spring,5/23/2021,N1A,C,1,33,Carex inops,1,NA,NA,
