DataCode,RecType,RecDate,watershed,ppt,Comments
APT01,1,1983-08-20,HQ,10.1,
APT01,1,1983-08-23,HQ,10.5,
APT01,1,1983-08-27,HQ,0,
APT01,1,1983-08-29,HQ,0,
APT01,1,1983-09-12,HQ,31,
APT01,1,1983-09-14,HQ,5.9,
APT01,1,1983-09-15,HQ,0.3,
APT01,1,1983-09-19,HQ,20,
APT01,1,1983-09-20,HQ,8,
APT01,1,1983-10-04,HQ,2.8,
APT01,1,1983-10-10,HQ,8,
APT01,1,1983-10-11,HQ,48.4,
APT01,1,1983-10-15,HQ,0.6,
APT01,1,1983-10-19,HQ,41,
APT01,1,1983-10-20,HQ,0.3,
APT01,1,1983-10-21,HQ,16,
APT01,1,1983-10-24,HQ,0,
APT01,1,1983-10-29,HQ,16.5,
APT01,1,1983-10-30,HQ,0,
APT01,1,1983-11-01,HQ,0.3,
APT01,1,1983-11-02,HQ,1,
APT01,1,1983-11-03,HQ,2.8,
APT01,1,1983-11-06,HQ,9.5,
APT01,1,1983-11-08,HQ,5,
APT01,1,1983-11-09,HQ,15.8,
APT01,1,1983-11-18,HQ,0.1,
APT01,1,1983-11-22,HQ,0.8,
APT01,1,1983-11-23,HQ,4.5,
APT01,1,1983-11-26,HQ,30.2,
APT01,1,1983-11-27,HQ,18.6,
APT01,1,1983-11-29,HQ,0.9,
APT01,1,1983-12-02,HQ,0.8,
APT01,1,1983-12-03,HQ,11,
APT01,1,1983-12-04,HQ,0.6,
APT01,1,1983-12-17,HQ,0.2,
APT01,1,1983-12-18,HQ,0.2,
APT01,1,1983-12-20,HQ,7.9,
APT01,1,1983-12-27,HQ,3.4,
APT01,1,1984-01-12,HQ,1,
APT01,1,1984-01-15,HQ,5.1,
APT01,1,1984-02-14,HQ,2.6,
APT01,1,1984-02-15,HQ,11,
APT01,1,1984-02-16,HQ,2,
APT01,1,1984-02-17,HQ,1.4,
APT01,1,1984-02-18,HQ,3.5,
APT01,1,1984-02-26,HQ,3.6,
APT01,1,1984-02-27,HQ,0.4,
APT01,1,1984-03-16,HQ,20.2,
APT01,1,1984-03-18,HQ,33,
APT01,1,1984-03-19,HQ,12.5,
APT01,1,1984-03-23,HQ,8,
APT01,1,1984-03-24,HQ,14,
APT01,1,1984-03-26,HQ,11,
APT01,1,1984-03-27,HQ,1.7,
APT01,1,1984-03-28,HQ,16.8,
APT01,1,1984-04-02,HQ,22,
APT01,1,1984-04-03,HQ,2.3,
APT01,1,1984-04-07,HQ,10.6,
APT01,1,1984-04-08,HQ,8.2,
APT01,1,1984-04-11,HQ,9.4,
APT01,1,1984-04-14,HQ,0.5,
APT01,1,1984-04-15,HQ,0.7,
APT01,1,1984-04-20,HQ,12.5,
APT01,1,1984-04-21,HQ,5,
APT01,1,1984-04-22,HQ,1.3,
APT01,1,1984-04-26,HQ,14.5,
APT01,1,1984-04-28,HQ,0.4,
APT01,1,1984-04-29,HQ,35.5,
APT01,1,1984-05-01,HQ,0.6,
APT01,1,1984-05-03,HQ,2.9,
APT01,1,1984-05-06,HQ,3.5,
APT01,1,1984-05-12,HQ,0.6,
APT01,1,1984-05-15,HQ,3,
APT01,1,1984-05-19,HQ,31.4,
APT01,1,1984-05-22,HQ,6.1,
APT01,1,1984-05-25,HQ,1.1,
APT01,1,1984-05-27,HQ,19,
APT01,1,1984-06-06,HQ,39.4,
APT01,1,1984-06-07,HQ,7.9,
APT01,1,1984-06-08,HQ,3.5,
APT01,1,1984-06-09,HQ,66.2,
APT01,1,1984-06-12,HQ,4,
APT01,1,1984-06-13,HQ,11.9,
APT01,1,1984-06-14,HQ,11.1,
APT01,1,1984-06-15,HQ,41.8,
APT01,1,1984-06-20,HQ,0.3,
APT01,1,1984-06-21,HQ,35.8,
APT01,1,1984-06-22,HQ,29.8,
APT01,1,1984-06-25,HQ,0,
APT01,1,1984-06-26,HQ,1.8,
APT01,1,1984-06-27,HQ,1.8,
APT01,1,1984-06-28,HQ,0.3,
APT01,1,1984-07-04,HQ,0.4,
APT01,1,1984-07-05,HQ,8.6,
APT01,1,1984-07-06,HQ,0,
APT01,1,1984-07-14,HQ,0,
APT01,1,1984-07-17,HQ,13.8,
APT01,1,1984-07-21,HQ,10.5,
APT01,1,1984-08-04,HQ,0.2,
APT01,1,1984-08-07,HQ,3.9,
APT01,1,1984-08-21,HQ,34.5,
APT01,1,1984-09-02,HQ,14.8,
APT01,1,1984-09-08,HQ,2.8,
APT01,1,1984-09-13,HQ,29,
APT01,1,1984-09-14,HQ,59.5,
APT01,1,1984-09-17,HQ,1,
APT01,1,1984-09-22,HQ,0.1,
APT01,1,1984-09-25,HQ,0.6,
APT01,1,1984-09-27,HQ,9.1,
APT01,1,1984-10-04,HQ,3,
APT01,1,1984-10-05,HQ,6.8,
APT01,1,1984-10-07,HQ,0.6,
APT01,1,1984-10-09,HQ,2,
APT01,1,1984-10-10,HQ,1.5,
APT01,1,1984-10-14,HQ,22.3,
APT01,1,1984-10-15,HQ,1.8,
APT01,1,1984-10-16,HQ,22.3,
APT01,1,1984-10-18,HQ,0.3,
APT01,1,1984-10-20,HQ,1,
APT01,1,1984-10-21,HQ,0.7,
APT01,1,1984-10-24,HQ,1.5,
APT01,1,1984-10-25,HQ,14.5,
APT01,1,1984-10-31,HQ,4.5,
APT01,1,1984-11-01,HQ,5.4,
APT01,1,1984-11-10,HQ,1.1,
APT01,1,1984-11-17,HQ,2.9,
APT01,1,1984-12-05,HQ,1.8,
APT01,1,1984-12-09,HQ,0.2,
APT01,1,1984-12-13,HQ,17.9,
APT01,1,1984-12-15,HQ,40,
APT01,1,1984-12-16,HQ,2,
APT01,1,1984-12-19,HQ,2.3,
APT01,1,1984-12-20,HQ,0.5,
APT01,1,1984-12-31,HQ,0.5,
APT01,1,1985-01-01,HQ,2.5,
APT01,1,1985-01-09,HQ,12.1,
APT01,1,1985-01-19,HQ,1,
APT01,1,1985-01-29,HQ,2.7,
APT01,1,1985-01-30,HQ,1.8,
APT01,1,1985-02-04,HQ,2.2,
APT01,1,1985-02-10,HQ,1.8,
APT01,1,1985-02-20,HQ,3,
APT01,1,1985-02-21,HQ,6.7,
APT01,1,1985-02-22,HQ,17,
APT01,1,1985-02-23,HQ,11.6,
APT01,1,1985-02-28,HQ,3,
APT01,1,1985-03-03,HQ,1.3,
APT01,1,1985-03-10,HQ,4.2,
APT01,1,1985-03-12,HQ,2,
APT01,1,1985-03-13,HQ,0.2,
APT01,1,1985-03-19,HQ,10.9,
APT01,1,1985-03-22,HQ,1.8,
APT01,1,1985-03-23,HQ,1.3,
APT01,1,1985-03-29,HQ,0.5,
APT01,1,1985-03-30,HQ,9.5,
APT01,1,1985-03-31,HQ,4.5,
APT01,1,1985-04-04,HQ,5,
APT01,1,1985-04-05,HQ,1.5,
APT01,1,1985-04-06,HQ,0.8,
APT01,1,1985-04-09,HQ,1.6,
APT01,1,1985-04-10,HQ,4,
APT01,1,1985-04-12,HQ,14.5,
APT01,1,1985-04-13,HQ,0,
APT01,1,1985-04-22,HQ,0.2,
APT01,1,1985-04-23,HQ,4.7,
APT01,1,1985-04-25,HQ,10.8,
APT01,1,1985-04-26,HQ,49.4,
APT01,1,1985-04-27,HQ,23.8,
APT01,1,1985-04-29,HQ,1.6,
APT01,1,1985-04-30,HQ,12.1,
APT01,1,1985-05-01,HQ,1.2,
APT01,1,1985-05-05,HQ,0.2,
APT01,1,1985-05-10,HQ,0.5,
APT01,1,1985-05-13,HQ,14.3,
APT01,1,1985-05-20,HQ,2.9,
APT01,1,1985-05-27,HQ,12,
APT01,1,1985-05-28,HQ,1,
APT01,1,1985-05-29,HQ,13.4,
APT01,1,1985-06-01,HQ,0.6,
APT01,1,1985-06-03,HQ,35.2,
APT01,1,1985-06-04,HQ,18.5,
APT01,1,1985-06-05,HQ,0,
APT01,1,1985-06-09,HQ,2.5,
APT01,1,1985-06-10,HQ,1.8,
APT01,1,1985-06-11,HQ,2.2,
APT01,1,1985-06-14,HQ,26.4,
APT01,1,1985-06-16,HQ,22.7,
APT01,1,1985-06-17,HQ,0,
APT01,1,1985-06-18,HQ,3.4,
APT01,1,1985-06-21,HQ,48.8,
APT01,1,1985-06-23,HQ,2.6,
APT01,1,1985-06-26,HQ,11.9,
APT01,1,1985-07-14,HQ,0.9,
APT01,1,1985-07-19,HQ,0,
APT01,1,1985-07-20,HQ,6.9,
APT01,1,1985-07-21,HQ,6.3,
APT01,1,1985-07-24,HQ,42.3,
APT01,1,1985-07-30,HQ,0.3,
APT01,1,1985-07-31,HQ,10.1,
APT01,1,1985-08-03,HQ,44.3,
APT01,1,1985-08-04,HQ,0,
APT01,1,1985-08-06,HQ,11.4,
APT01,1,1985-08-09,HQ,7,
APT01,1,1985-08-10,HQ,11.9,
APT01,1,1985-08-12,HQ,1,
APT01,1,1985-08-13,HQ,0.9,
APT01,1,1985-08-14,HQ,5.7,
APT01,1,1985-08-17,HQ,0.9,
APT01,1,1985-08-19,HQ,29.6,
APT01,1,1985-08-22,HQ,15,
APT01,1,1985-09-10,HQ,7,
APT01,1,1985-09-12,HQ,19.5,
APT01,1,1985-09-13,HQ,3.5,
APT01,1,1985-09-20,HQ,54,
APT01,1,1985-09-21,HQ,3,
APT01,1,1985-09-22,HQ,14,
APT01,1,1985-09-23,HQ,1,
APT01,1,1985-09-24,HQ,0.5,
APT01,1,1985-09-25,HQ,0.5,
APT01,1,1985-09-28,HQ,20,
APT01,1,1985-09-29,HQ,23,
APT01,1,1985-10-03,HQ,0,
APT01,1,1985-10-04,HQ,3,
APT01,1,1985-10-08,HQ,2.5,
APT01,1,1985-10-09,HQ,57.5,
APT01,1,1985-10-10,HQ,14.5,
APT01,1,1985-10-11,HQ,2.5,
APT01,1,1985-10-12,HQ,0.5,
APT01,1,1985-10-18,HQ,5,
APT01,1,1985-10-19,HQ,1,
APT01,1,1985-10-27,HQ,0,
APT01,1,1985-11-06,HQ,2,
APT01,1,1985-11-12,HQ,6.5,
APT01,1,1985-11-13,HQ,1,
APT01,1,1985-11-14,HQ,13,
APT01,1,1985-11-15,HQ,2,
APT01,1,1985-11-18,HQ,0.5,
APT01,1,1985-11-26,HQ,0.5,
APT01,1,1985-11-29,HQ,1,
APT01,1,1985-11-30,HQ,0.5,
APT01,1,1985-12-01,HQ,0.5,
APT01,1,1985-12-07,HQ,2.5,
APT01,1,1985-12-09,HQ,1,
APT01,1,1985-12-10,HQ,6,
APT01,1,1985-12-17,HQ,2.5,
APT01,1,1985-12-19,HQ,0.5,
APT01,1,1986-02-02,HQ,5.5,
APT01,1,1986-02-03,HQ,14.5,
APT01,1,1986-02-04,HQ,10.5,
APT01,1,1986-02-06,HQ,0.5,
APT01,1,1986-02-13,HQ,1,
APT01,1,1986-02-14,HQ,1,
APT01,1,1986-02-20,HQ,1,
APT01,1,1986-03-09,HQ,6,
APT01,1,1986-03-10,HQ,8.5,
APT01,1,1986-03-11,HQ,4,
APT01,1,1986-03-12,HQ,9,
APT01,1,1986-03-16,HQ,1,
APT01,1,1986-03-17,HQ,2,
APT01,1,1986-03-18,HQ,4.5,
APT01,1,1986-03-25,HQ,5,
APT01,1,1986-03-31,HQ,17.5,
APT01,1,1986-04-01,HQ,2.5,
APT01,1,1986-04-02,HQ,2.5,
APT01,1,1986-04-03,HQ,11,
APT01,1,1986-04-06,HQ,0.5,
APT01,1,1986-04-07,HQ,2,
APT01,1,1986-04-13,HQ,11.5,
APT01,1,1986-04-17,HQ,6,
APT01,1,1986-04-18,HQ,2,
APT01,1,1986-04-20,HQ,0,
APT01,1,1986-04-25,HQ,1,
APT01,1,1986-04-26,HQ,1,
APT01,1,1986-04-27,HQ,15,
APT01,1,1986-05-02,HQ,0.5,
APT01,1,1986-05-03,HQ,3,
APT01,1,1986-05-06,HQ,31,
APT01,1,1986-05-07,HQ,4,
APT01,1,1986-05-08,HQ,29,
APT01,1,1986-05-09,HQ,1,
APT01,1,1986-05-10,HQ,21.5,
APT01,1,1986-05-11,HQ,0,
APT01,1,1986-05-13,HQ,1.5,
APT01,1,1986-05-14,HQ,0.5,
APT01,1,1986-05-15,HQ,1,
APT01,1,1986-05-16,HQ,44,
APT01,1,1986-05-17,HQ,18.5,
APT01,1,1986-05-21,HQ,0.5,
APT01,1,1986-05-26,HQ,2,
APT01,1,1986-05-27,HQ,10,
APT01,1,1986-05-28,HQ,0,
APT01,1,1986-05-30,HQ,0,
APT01,1,1986-06-05,HQ,3,
APT01,1,1986-06-06,HQ,10,
APT01,1,1986-06-10,HQ,6,
APT01,1,1986-06-21,HQ,15,
APT01,1,1986-06-23,HQ,9.5,
APT01,1,1986-06-29,HQ,103.5,
APT01,1,1986-07-01,HQ,0,
APT01,1,1986-07-06,HQ,34.5,
APT01,1,1986-07-07,HQ,0.5,
APT01,1,1986-07-08,HQ,0,
APT01,1,1986-07-10,HQ,6,
APT01,1,1986-07-11,HQ,13,
APT01,1,1986-07-12,HQ,39.5,
APT01,1,1986-07-13,HQ,1.5,
APT01,1,1986-07-25,HQ,0.5,
APT01,1,1986-07-26,HQ,4.5,
APT01,1,1986-07-27,HQ,0.5,
APT01,1,1986-08-01,HQ,6,
APT01,1,1986-08-02,HQ,0.5,
APT01,1,1986-08-04,HQ,1,
APT01,1,1986-08-05,HQ,8.5,
APT01,1,1986-08-06,HQ,0,
APT01,1,1986-08-07,HQ,34.5,
APT01,1,1986-08-09,HQ,28.5,
APT01,1,1986-08-10,HQ,0,
APT01,1,1986-08-12,HQ,9,
APT01,1,1986-08-13,HQ,36.5,
APT01,1,1986-08-18,HQ,16,
APT01,1,1986-08-19,HQ,0,
APT01,1,1986-08-20,HQ,13,
APT01,1,1986-08-21,HQ,0,
APT01,1,1986-08-26,HQ,15,
APT01,1,1986-08-30,HQ,0,
APT01,1,1986-09-06,HQ,9,
APT01,1,1986-09-07,HQ,1,
APT01,1,1986-09-10,HQ,50,
APT01,1,1986-09-11,HQ,6.5,
APT01,1,1986-09-12,HQ,0,
APT01,1,1986-09-15,HQ,2,
APT01,1,1986-09-16,HQ,6,
APT01,1,1986-09-17,HQ,0.5,
APT01,1,1986-09-22,HQ,0,
APT01,1,1986-09-23,HQ,12.5,
APT01,1,1986-09-24,HQ,1,
APT01,1,1986-09-25,HQ,0.5,
APT01,1,1986-09-26,HQ,16.5,
APT01,1,1986-09-27,HQ,0.5,
APT01,1,1986-09-28,HQ,12.5,
APT01,1,1986-09-29,HQ,26,
APT01,1,1986-09-30,HQ,10.5,
APT01,1,1986-10-02,HQ,7,
APT01,1,1986-10-03,HQ,28,
APT01,1,1986-10-09,HQ,5.5,
APT01,1,1986-10-10,HQ,14,
APT01,1,1986-10-11,HQ,9,
APT01,1,1986-10-12,HQ,0,
APT01,1,1986-10-13,HQ,7,
APT01,1,1986-10-14,HQ,0,
APT01,1,1986-10-22,HQ,7.5,
APT01,1,1986-10-24,HQ,63,
APT01,1,1986-10-25,HQ,5,
APT01,1,1986-10-31,HQ,1.5,
APT01,1,1986-11-01,HQ,1,
APT01,1,1986-11-03,HQ,6,
APT01,1,1986-11-04,HQ,1,
APT01,1,1986-11-05,HQ,0,
APT01,1,1986-11-07,HQ,5,
APT01,1,1986-11-10,HQ,3,
APT01,1,1986-11-19,HQ,1,
APT01,1,1986-12-01,HQ,3,
APT01,1,1986-12-06,HQ,0.5,
APT01,1,1986-12-07,HQ,17,
APT01,1,1986-12-08,HQ,1,
APT01,1,1986-12-09,HQ,3,
APT01,1,1987-01-02,HQ,1,
APT01,1,1987-01-03,HQ,4,
APT01,1,1987-01-08,HQ,4,
APT01,1,1987-01-09,HQ,8.5,
APT01,1,1987-01-16,HQ,5,
APT01,1,1987-01-17,HQ,2.5,
APT01,1,1987-01-29,HQ,1,
APT01,1,1987-01-31,HQ,0,
APT01,1,1987-02-04,HQ,1,
APT01,1,1987-02-05,HQ,2.5,
APT01,1,1987-02-14,HQ,0.5,
APT01,1,1987-02-15,HQ,4,
APT01,1,1987-02-16,HQ,0.5,
APT01,1,1987-02-26,HQ,4,
APT01,1,1987-02-27,HQ,2,
APT01,1,1987-02-28,HQ,32.5,
APT01,1,1987-03-01,HQ,0,
APT01,1,1987-03-16,HQ,11,
APT01,1,1987-03-17,HQ,23,
APT01,1,1987-03-18,HQ,26,
APT01,1,1987-03-23,HQ,24.5,
APT01,1,1987-03-24,HQ,1.5,
APT01,1,1987-03-25,HQ,4,
APT01,1,1987-03-28,HQ,3,
APT01,1,1987-04-09,HQ,4.5,
APT01,1,1987-04-12,HQ,3,
APT01,1,1987-04-13,HQ,41,
APT01,1,1987-04-14,HQ,9.5,
APT01,1,1987-04-15,HQ,0,
APT01,1,1987-04-20,HQ,0.5,
APT01,1,1987-05-02,HQ,0,
APT01,1,1987-05-04,HQ,16,
APT01,1,1987-05-05,HQ,4,
APT01,1,1987-05-06,HQ,1.5,
APT01,1,1987-05-18,HQ,8,
APT01,1,1987-05-20,HQ,15,
APT01,1,1987-05-24,HQ,12,
APT01,1,1987-05-25,HQ,1,
APT01,1,1987-05-26,HQ,11,
APT01,1,1987-05-27,HQ,77,
APT01,1,1987-05-31,HQ,1,
APT01,1,1987-06-10,HQ,3,
APT01,1,1987-06-14,HQ,0.5,
APT01,1,1987-06-17,HQ,0,
APT01,1,1987-06-18,HQ,9,
APT01,1,1987-06-20,HQ,48.5,
APT01,1,1987-06-22,HQ,8,
APT01,1,1987-06-24,HQ,27,
APT01,1,1987-06-28,HQ,17.5,
APT01,1,1987-06-29,HQ,2.5,
APT01,1,1987-06-30,HQ,1,
APT01,1,1987-07-05,HQ,5.5,
APT01,1,1987-07-07,HQ,1.5,
APT01,1,1987-07-12,HQ,7,
APT01,1,1987-07-17,HQ,2,
APT01,1,1987-07-18,HQ,0,
APT01,1,1987-08-03,HQ,4,
APT01,1,1987-08-04,HQ,44,
APT01,1,1987-08-06,HQ,7,
APT01,1,1987-08-08,HQ,1.5,
APT01,1,1987-08-12,HQ,80.5,
APT01,1,1987-08-13,HQ,1,
APT01,1,1987-08-18,HQ,6,
APT01,1,1987-08-24,HQ,2.5,
APT01,1,1987-08-25,HQ,23,
APT01,1,1987-08-26,HQ,23.5,
APT01,1,1987-09-05,HQ,0,
APT01,1,1987-09-06,HQ,4,
APT01,1,1987-09-07,HQ,0.5,
APT01,1,1987-09-09,HQ,13.5,
APT01,1,1987-09-15,HQ,2.5,
APT01,1,1987-09-28,HQ,2,
APT01,1,1987-10-10,HQ,0.5,
APT01,1,1987-10-14,HQ,3,
APT01,1,1987-10-15,HQ,8,
APT01,1,1987-10-16,HQ,13,
APT01,1,1987-10-24,HQ,0,
APT01,1,1987-10-25,HQ,18.5,
APT01,1,1987-10-30,HQ,1,
APT01,1,1987-10-31,HQ,25,
APT01,1,1987-11-07,HQ,3.5,
APT01,1,1987-11-15,HQ,10.5,
APT01,1,1987-11-16,HQ,2.5,
APT01,1,1987-11-24,HQ,3.5,
APT01,1,1987-11-27,HQ,9.5,
APT01,1,1987-11-28,HQ,6,
APT01,1,1987-12-08,HQ,0.5,
APT01,1,1987-12-14,HQ,7,
APT01,1,1987-12-15,HQ,2.5,
APT01,1,1987-12-19,HQ,16,
APT01,1,1987-12-24,HQ,0.5,
APT01,1,1987-12-26,HQ,7,
APT01,1,1987-12-27,HQ,2,
APT01,1,1988-01-07,HQ,3,
APT01,1,1988-01-19,HQ,4,
APT01,1,1988-02-03,HQ,8,
APT01,1,1988-02-10,HQ,1.5,
APT01,1,1988-02-14,HQ,2,
APT01,1,1988-03-01,HQ,0,
APT01,1,1988-03-07,HQ,2,
APT01,1,1988-03-15,HQ,0.5,
APT01,1,1988-03-16,HQ,5,
APT01,1,1988-03-17,HQ,4,
APT01,1,1988-03-31,HQ,13.5,
APT01,1,1988-04-01,HQ,32.5,
APT01,1,1988-04-05,HQ,1,
APT01,1,1988-04-09,HQ,17.5,
APT01,1,1988-04-17,HQ,9,
APT01,1,1988-04-25,HQ,0,
APT01,1,1988-04-26,HQ,0.5,
APT01,1,1988-05-03,HQ,4,
APT01,1,1988-05-08,HQ,2,
APT01,1,1988-05-21,HQ,29,
APT01,1,1988-05-22,HQ,2,
APT01,1,1988-05-23,HQ,15,
APT01,1,1988-05-29,HQ,1,
APT01,1,1988-05-31,HQ,7,
APT01,1,1988-06-01,HQ,1.5,
APT01,1,1988-06-02,HQ,5.5,
APT01,1,1988-06-14,HQ,3,
APT01,1,1988-06-15,HQ,0.5,
APT01,1,1988-06-29,HQ,6.5,
APT01,1,1988-06-30,HQ,34,
APT01,1,1988-07-01,HQ,0.5,
APT01,1,1988-07-08,HQ,34,
APT01,1,1988-07-09,HQ,65,
APT01,1,1988-07-15,HQ,17.5,
APT01,1,1988-07-17,HQ,2.5,
APT01,1,1988-07-29,HQ,1,
APT01,1,1988-07-30,HQ,1.5,
APT01,1,1988-08-08,HQ,1.5,
APT01,1,1988-08-09,HQ,6.5,
APT01,1,1988-08-13,HQ,36,
APT01,1,1988-08-19,HQ,1,
APT01,1,1988-08-22,HQ,14,
APT01,1,1988-08-27,HQ,1.5,
APT01,1,1988-09-15,HQ,5.5,
APT01,1,1988-09-19,HQ,25.5,
APT01,1,1988-09-27,HQ,1.5,
APT01,1,1988-09-28,HQ,10,
APT01,1,1988-10-05,HQ,0.5,
APT01,1,1988-10-06,HQ,0.5,
APT01,1,1988-10-19,HQ,1.5,
APT01,1,1988-10-20,HQ,3,
APT01,1,1988-10-22,HQ,1.5,
APT01,1,1988-11-09,HQ,3.5,
APT01,1,1988-11-11,HQ,2,
APT01,1,1988-11-15,HQ,19,
APT01,1,1988-11-19,HQ,1,
APT01,1,1988-11-26,HQ,2,
APT01,1,1988-12-11,HQ,3,
APT01,1,1988-12-19,HQ,2.5,
APT01,1,1988-12-26,HQ,2.5,
APT01,1,1989-01-05,HQ,2.5,
APT01,1,1989-01-07,HQ,0.5,
APT01,1,1989-01-25,HQ,4,
APT01,1,1989-01-28,HQ,14.5,
APT01,1,1989-02-04,HQ,0.5,
APT01,1,1989-02-05,HQ,3,
APT01,1,1989-02-06,HQ,0.5,
APT01,1,1989-02-12,HQ,2.5,
APT01,1,1989-02-14,HQ,2,
APT01,1,1989-02-15,HQ,1,
APT01,1,1989-02-18,HQ,0.5,
APT01,1,1989-02-19,HQ,1,
APT01,1,1989-02-20,HQ,1,
APT01,1,1989-02-21,HQ,0.5,
APT01,1,1989-02-26,HQ,3.5,
APT01,1,1989-03-20,HQ,2,
APT01,1,1989-03-27,HQ,5.5,
APT01,1,1989-03-30,HQ,32,
APT01,1,1989-04-02,HQ,5,
APT01,1,1989-04-06,HQ,1,
APT01,1,1989-04-27,HQ,4,
APT01,1,1989-04-30,HQ,1.5,
APT01,1,1989-05-02,HQ,2.5,
APT01,1,1989-05-04,HQ,1,
APT01,1,1989-05-08,HQ,4.5,
APT01,1,1989-05-11,HQ,0.5,
APT01,1,1989-05-13,HQ,0.5,
APT01,1,1989-05-16,HQ,0.5,
APT01,1,1989-05-17,HQ,5.5,
APT01,1,1989-05-18,HQ,8,
APT01,1,1989-05-21,HQ,14,
APT01,1,1989-05-22,HQ,2,
APT01,1,1989-05-28,HQ,0.5,
APT01,1,1989-06-01,HQ,4,
