year,date,watershed,block,plot,strip,grass,forb,woody,pdead,notes
2021,,N4B,N,2,1,35.49,9.07,0,51.41,
2021,,N4B,N,2,2,26.75,0.044,0,55.12,
2021,,N4B,N,3,1,22.95,4.29,0,20.5,
2021,,N4B,N,3,2,20.83,6.22,0,36.67,
2021,,N4B,N,4,1,14.9,1.82,0,50.78,
2021,,N4B,N,4,2,10.72,1.25,0,71.07,
2021,,N4B,N,5,1,43.42,0.60122,0,32.95,
2021,,N4B,N,5,2,30.02,0.94892,0,43.29,
2021,,N4B,N,6,1,51.94,8.98,0,14.61,
2021,,N4B,N,6,2,18.57,0.85,8.45,25.95,
2021,,N4B,O,1,1,25.3,1.084,0,57.04,
2021,,N4B,O,1,2,25.79,0.291,0,40.45,
2021,,N4B,O,2,1,42.62,0,0,65.13,
2021,,N4B,O,2,2,24.39,0.0941,0,87.83,
2021,,N4B,O,3,1,14.19,4,0,4.13,
2021,,N4B,O,3,2,15.61,2.8,0,6.42,
2021,,N4B,O,4,1,21.24,1.24,0,28.89,
2021,,N4B,O,4,2,26.95,0,0,32.31,
2021,,N4B,O,5,1,15.77,1.93,0,18.94,
2021,,N4B,O,5,2,16.39,7.8,0,28.03,
2021,,N4B,O,6,1,17.68,0.7425,0,4.16,
2021,,N4B,O,6,2,21.96,2.1115,0,4.36,
2021,,N4B,P,1,1,8.94,59.5,0,139.02,
2021,,N4B,P,1,2,21.1,4.11,0,128.23,
2021,,N4B,P,2,1,5.38,0.6,0,96.73,
2021,,N4B,P,2,2,10.63,37.73,0,83.29,
2021,,N4B,P,3,1,20.64,0.01,0,10.05,
2021,,N4B,P,3,2,21.17,0.11,0,11.69,
2021,,N4B,P,4,1,15.19,1.38,0,9.94,
2021,,N4B,P,4,2,15.97,0,0,9.29,
2021,,N4B,P,5,1,21.78,2.22,0,51.32,
2021,,N4B,P,5,2,16.5,0,0,28.66,
2021,,N4B,P,6,1,7.81,13.18,0,0,
2021,,N4B,P,6,2,8.31,8.7,1.47,0,
2021,,N4B,Q,1,1,30.95,7.05,0,40.29,
2021,,N4B,Q,1,2,12.25,6.91,0,11.14,
2021,,N4B,Q,2,1,36.46,0.75,0,20.34,
2021,,N4B,Q,2,2,30.89,0.11,0,18.86,
2021,,N4B,Q,3,1,8.47,4.31,0,3.71,
2021,,N4B,Q,3,2,8.03,7.05,0,5.72,
2021,,N4B,Q,4,1,11.9,3.76,0,9.67,
2021,,N4B,Q,4,2,27.97,1.34,0,39.58,
2021,,N4B,Q,5,1,44.43,0,0,55.26,
2021,,N4B,Q,5,2,17.59,0.7069,0,8.18,
2021,,N4B,Q,6,1,23.3,12.76,0,11.32,
2021,,N4B,Q,6,2,42.18,21.9,0,20.64,
2021,,N4B,R,1,1,18.45,0,0,7.41,
2021,,N4B,R,1,2,15.07,0.123,0,9.27,
2021,,N4B,R,2,1,42.08,0,0,35.56,
2021,,N4B,R,2,2,27.82,0,0,34.38,
2021,,N4B,R,3,1,5.38,1.22,0,5.22,
2021,,N4B,R,3,2,3.98,1.22,0,6.52,
2021,,N4B,R,4,1,24.59,5.6,0,14.45,
2021,,N4B,R,4,2,11.27,9.16,0,20.86,
2021,,N4B,R,5,1,18.46,0,0,22.08,
2021,,N4B,R,5,2,37.96,0.321,0,26.19,
2021,,N4B,R,6,1,4.43,0.713,0,1.67,
2021,,N4B,R,6,2,4.07,0.144,0,1.38,
