year,experiment,watershed,block,plot,strip,grass,forb,woody,pdead,notes
2022,conSME,N1A,C,5,2,47.06,8.78,,,
2022,conSME,N1A,C,6,1,24.8,4.74,,,
2022,conSME,N1A,C,6,2,18.07,8.69,,,
2022,conSME,N1A,D,1,1,26.06,11.43,,,
2022,conSME,N1A,D,1,2,42.53,13,,,
2022,conSME,N1A,D,2,1,58.85,13.38,,,
2022,conSME,N1A,D,2,2,28.53,27.17,,24.16,
2022,conSME,N1A,D,3,1,25.66,0.88,,,
2022,conSME,N1A,D,3,2,14.24,32.53,,,
2022,conSME,N1A,D,4,1,67.12,19.5,,,
2022,conSME,N1A,D,4,2,57.06,22.82,,,
2022,conSME,N1A,D,5,1,10.35,7.44,,,
2022,conSME,N1A,D,5,2,73.15,5.93,,,
2022,conSME,N1A,D,6,1,7.59,5.78,,,
2022,conSME,N1A,D,6,2,9.2,15.52,,,
2022,conSME,N1A,E,1,1,50.48,12.6,18.43,,
2022,conSME,N1A,E,1,2,50.58,,3.98,,
2022,conSME,N1A,E,2,1,66.38,7.95,,,
2022,conSME,N1A,E,2,2,28.48,11.25,,,
2022,conSME,N1A,E,3,1,17.08,1.36,,,
2022,conSME,N1A,E,3,2,8.37,1.81,,,
2022,conSME,N1A,E,4,1,27.39,14.63,,,
2022,conSME,N1A,E,4,2,38.57,5.41,,,
2022,conSME,N1A,E,5,1,80.07,6.52,,,
2022,conSME,N1A,E,5,2,50.71,22.94,,,
2022,conSME,N1A,E,6,1,6.64,5.08,,,
2022,conSME,N1A,E,6,2,10.49,20.8,,,
2022,conSME,N1A,F,1,1,36.63,1.93,,,
2022,conSME,N1A,F,1,2,30.59,2.77,,,
2022,conSME,N1A,F,2,1,18.09,18.78,,,
2022,conSME,N1A,F,2,2,27.75,24.4,,,
2022,conSME,N1A,F,3,1,11.29,7.78,,,
2022,conSME,N1A,F,3,2,11.83,26.75,,,
2022,conSME,N1A,F,4,1,71.03,5.56,0.56,,
2022,conSME,N1A,F,4,2,63.59,2.26,,,
2022,conSME,N1A,F,5,1,52.64,3.39,,,
2022,conSME,N1A,F,5,2,71.8,,,,
2022,conSME,N1A,F,6,1,12.85,4.51,,,
2022,conSME,N1A,F,6,2,15.01,0.11,,,
2022,conSME,N1A,G,1,1,41.62,,,,
2022,conSME,N1A,G,1,2,71.74,,,,
2022,conSME,N1A,G,2,1,42.12,0.97,,,
2022,conSME,N1A,G,2,2,34.12,0.97,,,
2022,conSME,N1A,G,3,1,7.47,2.14,,,
2022,conSME,N1A,G,3,2,4.37,0.37,,,
2022,conSME,N1A,G,4,1,60.3,,,,
2022,conSME,N1A,G,4,2,34.59,1.59,,,
2022,conSME,N1A,G,5,1,39.56,1.47,,,
2022,conSME,N1A,G,5,2,23.99,2.38,,,
2022,conSME,N1A,G,6,1,22.75,2.22,,,
2022,conSME,N1A,G,6,2,8.05,2.65,,,
2022,conSME,N1A,H,1,1,55.13,,27.69,,
2022,conSME,N1A,H,1,2,19.49,,11.01,,
2022,conSME,N1A,H,2,1,33.37,0.66,1.81,,
2022,conSME,N1A,H,2,2,40.87,,,,
2022,conSME,N1A,H,3,1,16.71,12.22,,,
2022,conSME,N1A,H,3,2,,31.72,,,
2022,conSME,N1A,H,4,1,54.6,1.72,13.5,,
2022,conSME,N1A,H,4,2,91.18,,,,
2022,conSME,N1A,H,5,1,31.08,5.72,,,
2022,conSME,N1A,H,5,2,41.29,37.15,,,
2022,conSME,N1A,H,6,1,38.15,31.12,3.08,,
2022,conSME,N1A,H,6,2,12.49,0.17,6.14,,
2022,conSME,N1A,I,1,1,17.88,4.18,,,
2022,conSME,N1A,I,1,2,29.34,8.47,,,
2022,conSME,N1A,I,2,1,35.2,5.8,,,
2022,conSME,N1A,I,2,2,49.61,0.42,,,
2022,conSME,N1A,I,3,1,4.41,11.16,,,
2022,conSME,N1A,I,3,2,45.99,6.71,,,
2022,conSME,N1A,I,4,1,35.54,6.5,,,
2022,conSME,N1A,I,4,2,44.76,3.22,,,
2022,conSME,N1A,I,5,1,45.28,0.63,,,
2022,conSME,N1A,I,5,2,39.23,3.05,,,
2022,conSME,N1A,I,6,1,28.34,1.91,,,
2022,conSME,N1A,I,6,2,17.46,13.04,,,
2022,conSME,N4B,J,1,1,11.05,50.22,,,
2022,conSME,N4B,J,1,2,13.64,58.36,,79.92,
2022,conSME,N4B,J,2,1,35.04,,137.74,,
2022,conSME,N4B,J,2,2,47.23,,142.13,,
2022,conSME,N4B,J,3,1,10.65,2.59,,7.03,
2022,conSME,N4B,J,3,2,39.92,0.54,,2.76,
2022,conSME,N4B,J,4,1,32.22,24.74,,50.58,
2022,conSME,N4B,J,4,2,19.82,0.53,,70.1,
2022,conSME,N4B,J,5,1,42.76,,142.13,,
2022,conSME,N4B,J,5,2,43.95,,107.37,,
2022,conSME,N4B,J,6,1,37.69,0.69,,23.05,
2022,conSME,N4B,J,6,2,35.58,3.01,,29.35,
2022,conSME,N4B,K,1,1,17.52,1.18,,,
2022,conSME,N4B,K,1,2,11.58,,,,
2022,conSME,N4B,K,2,1,34.03,0.63,,,
2022,conSME,N4B,K,2,2,35.59,,,,
2022,conSME,N4B,K,3,1,15.75,1.08,,,
2022,conSME,N4B,K,3,2,18.03,0.31,,5.35,
2022,conSME,N4B,K,4,1,41.62,3.57,,,
2022,conSME,N4B,K,4,2,28.34,13.23,3.08,,
2022,conSME,N4B,K,5,1,51.04,0.4,,2.2,
2022,conSME,N4B,K,5,2,29.16,0.13,,,
2022,conSME,N4B,K,6,1,36.53,2.46,,18.86,
2022,conSME,N4B,K,6,2,42.58,1.57,,31.16,
2022,conSME,N4B,L,1,1,40.3,,,,
2022,conSME,N4B,L,1,2,26.27,,,,
2022,conSME,N4B,L,2,1,43.9,20.04,,39.76,
2022,conSME,N4B,L,2,2,57.72,2.67,,26.11,
2022,conSME,N4B,L,3,1,29.8,3.91,6.2,43.47,
2022,conSME,N4B,L,3,2,25.92,2.75,,6.19,
2022,conSME,N4B,L,4,1,33.03,,,,
2022,conSME,N4B,L,4,2,10.75,,,,
2022,conSME,N4B,L,5,1,29.2,0.31,,40,
2022,conSME,N4B,L,5,2,36.28,0.44,,47.04,
2022,conSME,N4B,L,6,1,17.35,4.57,,4.64,
2022,conSME,N4B,L,6,2,14.39,4.8,,7.62,
2022,conSME,N4B,M,1,1,78.65,5.51,,108.56,
2022,conSME,N4B,M,1,2,27.36,4.28,,111.36,
2022,conSME,N4B,M,2,1,32.12,19.96,,,
2022,conSME,N4B,M,2,2,65.54,,,65.59,
2022,conSME,N4B,M,3,1,58.89,,,,
2022,conSME,N4B,M,3,2,52.65,,,,
2022,conSME,N4B,M,4,1,25.75,2.33,,73.36,
2022,conSME,N4B,M,4,2,24.88,1.75,,73.75,
2022,conSME,N4B,M,5,1,21.5,0.06,,82.18,
2022,conSME,N4B,M,5,2,25.36,,,80.92,
2022,conSME,N4B,M,6,1,29.07,2.18,,,
2022,conSME,N4B,M,6,2,27.98,1.62,,,
2022,conSME,N4B,N,1,1,41.14,22.6,,34.92,
2022,conSME,N4B,N,1,2,11.27,5.51,,,
2022,conSME,N4B,N,2,1,36.1,3.39,,22.14,
2022,conSME,N4B,N,2,2,33.29,,12.73,69.22,
2022,conSME,N4B,N,3,1,26.74,0.66,,9.36,
2022,conSME,N4B,N,3,2,48.03,0.45,,35.37,
2022,conSME,N4B,N,4,1,38.39,0.19,,62.44,
2022,conSME,N4B,N,4,2,42.39,50.59,,,
2022,conSME,N4B,N,5,1,2.73,8.03,,94.79,
2022,conSME,N4B,N,5,2,9.08,14.68,,83.09,
2022,conSME,N4B,N,6,1,29.97,2.28,,63.47,
2022,conSME,N4B,N,6,2,59,,8.34,74.78,
2022,conSME,N4B,O,1,1,11.7,,,50.12,
2022,conSME,N4B,O,1,2,26.04,,,44.04,
2022,conSME,N4B,O,2,1,16.21,,,79.03,
2022,conSME,N4B,O,2,2,24.07,0.07,,65.75,
2022,conSME,N4B,O,3,1,9.79,8.9,,1.5,
2022,conSME,N4B,O,3,2,15.71,4.31,,4.2,
2022,conSME,N4B,O,4,1,52.53,0.3,,98.08,
2022,conSME,N4B,O,4,2,57.17,,,81,
2022,conSME,N4B,O,5,1,57.28,0.01,,20.07,
2022,conSME,N4B,O,5,2,53.59,,,46.18,
2022,conSME,N4B,O,6,1,71.79,1.98,,2.64,
2022,conSME,N4B,O,6,2,42.79,2.07,,18.88,
2022,conSME,N4B,P,1,1,27.81,13.05,,55.22,
2022,conSME,N4B,P,1,2,15.36,6.2,19.91,44.52,
2022,conSME,N4B,P,2,1,17.89,1.28,11.41,74.03,
2022,conSME,N4B,P,2,2,0.42,1.82,97.84,79.57,
2022,conSME,N4B,P,3,1,32.95,,,,
2022,conSME,N4B,P,3,2,35.18,0.32,3.35,5.37,
2022,conSME,N4B,P,4,1,32.45,,,46.98,
2022,conSME,N4B,P,4,2,33.48,0.48,,70.93,
2022,conSME,N4B,P,5,1,42.25,,,101.54,
2022,conSME,N4B,P,5,2,44.6,,,95.24,
2022,conSME,N4B,P,6,1,24.78,0.25,39.53,,
2022,conSME,N4B,P,6,2,39.63,38.8,,,
2022,conSME,N4B,Q,1,1,23.01,11.3,,52.04,
2022,conSME,N4B,Q,1,2,36.02,10.17,,32.05,
2022,conSME,N4B,Q,2,1,55.92,0.41,,54.79,
2022,conSME,N4B,Q,2,2,43.51,0.21,,26.54,
2022,conSME,N4B,Q,3,1,62.41,5.42,,0.94,
2022,conSME,N4B,Q,3,2,24.83,12.7,,2.86,
2022,conSME,N4B,Q,4,1,18.85,0.63,1.03,53.19,
2022,conSME,N4B,Q,4,2,46.23,5.22,,72.09,
2022,conSME,N4B,Q,5,1,26.56,1.16,,45.61,
2022,conSME,N4B,Q,5,2,35.6,0.62,,29.99,PYD biomass matted with dirt
2022,conSME,N4B,Q,6,1,35.18,,,32.43,
2022,conSME,N4B,Q,6,2,8.46,46.3,,43.94,
2022,conSME,N4B,R,1,1,,,,,no measurements recorded - SG
2022,conSME,N4B,R,1,2,,,,,no measurements recorded - SG
2022,conSME,N4B,R,2,1,5.44,16.32,,,
2022,conSME,N4B,R,2,2,29.65,,,,
2022,conSME,N4B,R,3,1,22.46,0.17,,,
2022,conSME,N4B,R,3,2,19.78,5.88,,,
2022,conSME,N4B,R,4,1,,,,,no measurements recorded - SG
2022,conSME,N4B,R,4,2,,,,,no measurements recorded - SG
2022,conSME,N4B,R,5,1,14.46,,,,
2022,conSME,N4B,R,5,2,46.85,,,,
2022,conSME,N4B,R,6,1,10.32,5.89,,3.78,
2022,conSME,N4B,R,6,2,19.24,2.68,,4.21,
